"Abstract"	"Refid"	"Title"	"content"
"Objective: To identify the vector(s), the parasite and the species composition of sand flies in the district during May-October 2012. Methods: For reaching our objectives we used polymerase chain reaction of kDNA, ITS1-rDNA, followed by restriction fragment length polymorphism. Results: Two species of Phlebotomus sergenti and Phlebotomus tobbi were the most prevalent among 8 species identified comprising 51.1% and 32.9% respectively. Among the 160 specimens of female sand flies tested by polymerase chain reaction of kDNA, ITS1-rDNA, followed by restriction fragment length polymorphisms, only 1 out of 80 Phlebotomus tobbi (1.25%) were positive to Leishmania infantum parasites. Conclusions: Our finding showed that Phlebotomus tobbi may play as a vector to circulate the parasite of Leishmania infantum among reservoir(s) and human. ¬"	81537	"Leishmania infantum DNA detection in Phlebotomus tobbi in a new northern focus of visceral leishmaniasis in Iran"	"Leishmania infantum DNA detection in Phlebotomus tobbi in a new northern focus of visceral leishmaniasis in Iran | Objective: To identify the vector(s), the parasite and the species composition of sand flies in the district during May-October 2012. Methods: For reaching our objectives we used polymerase chain reaction of kDNA, ITS1-rDNA, followed by restriction fragment length polymorphism. Results: Two species of Phlebotomus sergenti and Phlebotomus tobbi were the most prevalent among 8 species identified comprising 51.1% and 32.9% respectively. Among the 160 specimens of female sand flies tested by polymerase chain reaction of kDNA, ITS1-rDNA, followed by restriction fragment length polymorphisms, only 1 out of 80 Phlebotomus tobbi (1.25%) were positive to Leishmania infantum parasites. Conclusions: Our finding showed that Phlebotomus tobbi may play as a vector to circulate the parasite of Leishmania infantum among reservoir(s) and human. ¬"
"Background: The prevalence of Old World Cutaneous Leishmaniasis in the Mediterranean region is increasing and in Southern Europe often caused by Leishmania infantum. Spontaneous healing of cutaneous leishmaniasis is commonly observed, especially if caused by L. major, whereas L. infantum associated lesions have been reported with longer disease duration and decreased tendency for self-limitation, however, available information is sparse.Case presentation: We report the case of an otherwise healthy woman from Southern Spain who presented with a seven years persistent, non-healing, painless, central ulcerated, nodular cutaneous lesion with a diameter of 2 cm of the forearm. Cutaneous leishmaniasis was diagnosed by smear and histology, showing large amounts of leishmania amastigotes in subepidermal histiocytes and extensive lymphocyte and plasma cell inflammation. L. infantum as the causative pathogen was confirmed by restriction fragment length polymorphism and microsatellite-PCR. Systemic or visceral involvement was excluded by negative leishmania serology and clinical presentation, relevant concomitant diseases or immunosuppression were excluded including quantification of immunoglobulin levels and lymphocyte phenotyping. Topical and systemic anti-infectious treatment options, often limited in terms of efficacy, tolerability and long lasting treatment duration, were considered. Treatment was successfully performed by surgical extraction in local anaesthesia only.Conclusion: To our knowledge this is the longest reported duration of a L. infantum associated cutaneous leishmaniasis indicating a potential long lasting natural evolution of the disease in an otherwise healthy and immunocompetent patient, however, high parasite density may have reflected a lack of a L. infantum specific immune response. Complete surgical extraction can be successfully performed as treatment. ¬"	81534	"Non-healing old world cutaneous leishmaniasis caused by L. infantum in a patient from Spain"	"Non-healing old world cutaneous leishmaniasis caused by L. infantum in a patient from Spain | Background: The prevalence of Old World Cutaneous Leishmaniasis in the Mediterranean region is increasing and in Southern Europe often caused by Leishmania infantum. Spontaneous healing of cutaneous leishmaniasis is commonly observed, especially if caused by L. major, whereas L. infantum associated lesions have been reported with longer disease duration and decreased tendency for self-limitation, however, available information is sparse.Case presentation: We report the case of an otherwise healthy woman from Southern Spain who presented with a seven years persistent, non-healing, painless, central ulcerated, nodular cutaneous lesion with a diameter of 2 cm of the forearm. Cutaneous leishmaniasis was diagnosed by smear and histology, showing large amounts of leishmania amastigotes in subepidermal histiocytes and extensive lymphocyte and plasma cell inflammation. L. infantum as the causative pathogen was confirmed by restriction fragment length polymorphism and microsatellite-PCR. Systemic or visceral involvement was excluded by negative leishmania serology and clinical presentation, relevant concomitant diseases or immunosuppression were excluded including quantification of immunoglobulin levels and lymphocyte phenotyping. Topical and systemic anti-infectious treatment options, often limited in terms of efficacy, tolerability and long lasting treatment duration, were considered. Treatment was successfully performed by surgical extraction in local anaesthesia only.Conclusion: To our knowledge this is the longest reported duration of a L. infantum associated cutaneous leishmaniasis indicating a potential long lasting natural evolution of the disease in an otherwise healthy and immunocompetent patient, however, high parasite density may have reflected a lack of a L. infantum specific immune response. Complete surgical extraction can be successfully performed as treatment. ¬"
"Out of 541 dogs (181 pet and 360 stray) belonging to either sex examined in and around Bhubaneswar during a period of one year (Aug 2011- July 2012) 57 (10.54%) were found positive for haemoprotozoan parasites. Babesia gibsoni, Babesia canis, Hepatozoon canis and Trypanosoma evansi were the four species recorded with percentage of incidence 4.81%, 1.66%, 3.33% and 0.74% respectively. Incidence among dogs less than 1year of age was more (17.07%) than dogs above one year (9.37%). Percentage of incidence was higher (12.32%) among males than females (8.68%). Highest percentage of incidence was seen in summer (14.55%) followed by rainy (10.06%) and least in winter (5.92%)."	81526	"Incidence of haemoprotozoan parasites in Dogs in and around Bhubaneswar, Odisha"	"Incidence of haemoprotozoan parasites in Dogs in and around Bhubaneswar, Odisha | Out of 541 dogs (181 pet and 360 stray) belonging to either sex examined in and around Bhubaneswar during a period of one year (Aug 2011- July 2012) 57 (10.54%) were found positive for haemoprotozoan parasites. Babesia gibsoni, Babesia canis, Hepatozoon canis and Trypanosoma evansi were the four species recorded with percentage of incidence 4.81%, 1.66%, 3.33% and 0.74% respectively. Incidence among dogs less than 1year of age was more (17.07%) than dogs above one year (9.37%). Percentage of incidence was higher (12.32%) among males than females (8.68%). Highest percentage of incidence was seen in summer (14.55%) followed by rainy (10.06%) and least in winter (5.92%)."
"Background: Cutaneous leishmaniasis is an infectious disease caused by various species of the flagellate protozoan Leishmania. During the past 20 years, cutaneous leishmaniasis has emerged as a major public health threat in Morocco. The main objective of this study was to study the occurrence of Leishmania infection in vectors and to identify sand fly blood meal sources in an endemic locality of cutaneous leishmaniasis within Sefrou province, where the vectors of leishmaniasis were still unknown. Methods. 2650 sand flies were collected using CDC miniature light traps and identified morphologically. The identified sand flies were tested for Leishmania infection by nested PCR. The source of blood meal of 10 freshly engorged females: 6 Phlebotomus longicuspis and 4 Phlebotomus sergenti, was determined using the Cyt b sequence. Results: The collected sand flies consisted of 10 species, seven of which belonged to the genus Phlebotomus and three to the genus Sergentomyia. The most abundant species was P. longicuspis, accounting for 72% of the total sand flies collected. In females of three P. longicuspis and four P. sergenti, Leishmania infantum and Leishmania tropica DNA was detected, respectively.The source of blood meal of engorged females showed that all sand flies tested fed on humans. Conclusions: We report for the first time the natural infection of P. longicuspis with L. infantum in Morocco. The high frequency of this species in this region, in addition to its anthropophilic character make P. longicuspis the putative vector of L. infantum in this cutaneous leishmaniasis focus where L. tropica is confirmed as the causative agent of the disease and P. sergenti as its vector. The presence of L. infantum, and its presumed vector in this area, makes this a site of high risk of visceral leishmaniasis, mostly because of the proximity of a focus of human and canine visceral leishmaniasis. ¬"	81525	"Molecular detection and identification of Leishmania infection in naturally infected sand flies in a focus of cutaneous leishmaniasis in northern Morocco"	"Molecular detection and identification of Leishmania infection in naturally infected sand flies in a focus of cutaneous leishmaniasis in northern Morocco | Background: Cutaneous leishmaniasis is an infectious disease caused by various species of the flagellate protozoan Leishmania. During the past 20 years, cutaneous leishmaniasis has emerged as a major public health threat in Morocco. The main objective of this study was to study the occurrence of Leishmania infection in vectors and to identify sand fly blood meal sources in an endemic locality of cutaneous leishmaniasis within Sefrou province, where the vectors of leishmaniasis were still unknown. Methods. 2650 sand flies were collected using CDC miniature light traps and identified morphologically. The identified sand flies were tested for Leishmania infection by nested PCR. The source of blood meal of 10 freshly engorged females: 6 Phlebotomus longicuspis and 4 Phlebotomus sergenti, was determined using the Cyt b sequence. Results: The collected sand flies consisted of 10 species, seven of which belonged to the genus Phlebotomus and three to the genus Sergentomyia. The most abundant species was P. longicuspis, accounting for 72% of the total sand flies collected. In females of three P. longicuspis and four P. sergenti, Leishmania infantum and Leishmania tropica DNA was detected, respectively.The source of blood meal of engorged females showed that all sand flies tested fed on humans. Conclusions: We report for the first time the natural infection of P. longicuspis with L. infantum in Morocco. The high frequency of this species in this region, in addition to its anthropophilic character make P. longicuspis the putative vector of L. infantum in this cutaneous leishmaniasis focus where L. tropica is confirmed as the causative agent of the disease and P. sergenti as its vector. The presence of L. infantum, and its presumed vector in this area, makes this a site of high risk of visceral leishmaniasis, mostly because of the proximity of a focus of human and canine visceral leishmaniasis. ¬"
"Background: Visceral Leishmaniasis is endemic to Brazil, where it is caused by Leishmania infantum (syn. Leishmania chagasi). Following parasite inoculation, individuals may experience asymptomatic infection, raising the possibility of parasite transmission through the transfusion of contaminated blood products. In the present work, we evaluated the prevalence of asymptomatic Leishmania infection among blood donors in Salvador, northeastern Brazil.Methods: Peripheral blood was collected from 700 blood donors attending the Blood Bank of Bahia (HEMOBA/SESAB), from January to September 2010. We evaluated anti-Leishmania serology by ELISA, employing Soluble Leishmania Antigen (sensitivity 90% and specificity 95%). The presence of parasite DNA was determined by qPCR, targeting a single copy gene (G6PD), and by end-point PCR, targeting multiple targets, namely a segment located in the Leishmania rRNA locus (ITS) and the conserved region of kinetoplastid DNA (kDNA) minicircles.Results: The blood-donor population was comprised of 74.5% of males with a mean age of 34 years. Anti-Leishmania serology by ELISA was positive in 5.4% (38/700) individuals. One individual was also positive for Chagas' disease and another tested positive for Syphilis. Employing qPCR, parasite DNA was not found in any of 38 seropositive samples. However, by ITS PCR, 8/38 (21%) samples were positive and this positivity increased to 26/38 (68%) when we targeted kDNA amplification. Agreement between both techniques (ITS and kDNA PCR) was fair (kappa = 0.219).Conclusions: These results indicate that asymptomatic infection is present among the blood donor population of Salvador, a finding that warrants a broader discussion regarding the need to implement specific screening strategies. ¬"	81521	"Serological survey of Leishmania infection in blood donors in Salvador, northeastern Brazil"	"Serological survey of Leishmania infection in blood donors in Salvador, northeastern Brazil | Background: Visceral Leishmaniasis is endemic to Brazil, where it is caused by Leishmania infantum (syn. Leishmania chagasi). Following parasite inoculation, individuals may experience asymptomatic infection, raising the possibility of parasite transmission through the transfusion of contaminated blood products. In the present work, we evaluated the prevalence of asymptomatic Leishmania infection among blood donors in Salvador, northeastern Brazil.Methods: Peripheral blood was collected from 700 blood donors attending the Blood Bank of Bahia (HEMOBA/SESAB), from January to September 2010. We evaluated anti-Leishmania serology by ELISA, employing Soluble Leishmania Antigen (sensitivity 90% and specificity 95%). The presence of parasite DNA was determined by qPCR, targeting a single copy gene (G6PD), and by end-point PCR, targeting multiple targets, namely a segment located in the Leishmania rRNA locus (ITS) and the conserved region of kinetoplastid DNA (kDNA) minicircles.Results: The blood-donor population was comprised of 74.5% of males with a mean age of 34 years. Anti-Leishmania serology by ELISA was positive in 5.4% (38/700) individuals. One individual was also positive for Chagas' disease and another tested positive for Syphilis. Employing qPCR, parasite DNA was not found in any of 38 seropositive samples. However, by ITS PCR, 8/38 (21%) samples were positive and this positivity increased to 26/38 (68%) when we targeted kDNA amplification. Agreement between both techniques (ITS and kDNA PCR) was fair (kappa = 0.219).Conclusions: These results indicate that asymptomatic infection is present among the blood donor population of Salvador, a finding that warrants a broader discussion regarding the need to implement specific screening strategies. ¬"
"Canine visceral leishmaniasis is an important zoonosis in Brazil. However, infection patterns are unknown in some scenarios such as rural settlements around Atlantic Forest fragments. Additionally, controversy remains over risk factors, and most identified patterns of infection in dogs have been found in urban areas. We conducted a cross-sectional epidemiological survey to assess the prevalence of leishmaniasis in dogs through three different serological tests, and interviews with owners to assess features of dogs and households around five Atlantic Forest remnants in southeastern Brazil. We used Generalized Linear Mixed Models and Chi-square tests to detect associations between prevalence and variables that might influence Leishmania infection, and a nearest neighbor dispersion analysis to assess clustering in the spatial distribution of seropositive dogs. Our findings showed an average prevalence of 20% (ranging from 10 to 32%) in dogs. Nearly 40% (ranging from 22 to 55%) of households had at least one seropositive dog. Some individual traits of dogs (height, sterilization, long fur, age class) were found to positively influence the prevalence, while some had negative influence (weight, body score, presence of ectoparasites). Environmental and management features (number of cats in the households, dogs with free-ranging behavior) also entered models as negative associations with seropositivity. Strong and consistent negative (protective) influences of the presence of chickens and pigs in dog seropositivity were detected. Spatial clustering of cases was detected in only one of the five study sites. The results showed that different risk factors than those found in urban areas may drive the prevalence of canine leishmaniasis in farm/forest interfaces, and that humans and wildlife risk infection in these areas. Domestic dog population limitation by gonadectomy, legal restriction of dog numbers per household and owner education are of the greatest importance for the control of visceral leishmaniasis in rural zones near forest fragments. ¬"	81519	"Factors associated with the seroprevalence of leishmaniasis in dogs living around Atlantic Forest fragments"	"Factors associated with the seroprevalence of leishmaniasis in dogs living around Atlantic Forest fragments | Canine visceral leishmaniasis is an important zoonosis in Brazil. However, infection patterns are unknown in some scenarios such as rural settlements around Atlantic Forest fragments. Additionally, controversy remains over risk factors, and most identified patterns of infection in dogs have been found in urban areas. We conducted a cross-sectional epidemiological survey to assess the prevalence of leishmaniasis in dogs through three different serological tests, and interviews with owners to assess features of dogs and households around five Atlantic Forest remnants in southeastern Brazil. We used Generalized Linear Mixed Models and Chi-square tests to detect associations between prevalence and variables that might influence Leishmania infection, and a nearest neighbor dispersion analysis to assess clustering in the spatial distribution of seropositive dogs. Our findings showed an average prevalence of 20% (ranging from 10 to 32%) in dogs. Nearly 40% (ranging from 22 to 55%) of households had at least one seropositive dog. Some individual traits of dogs (height, sterilization, long fur, age class) were found to positively influence the prevalence, while some had negative influence (weight, body score, presence of ectoparasites). Environmental and management features (number of cats in the households, dogs with free-ranging behavior) also entered models as negative associations with seropositivity. Strong and consistent negative (protective) influences of the presence of chickens and pigs in dog seropositivity were detected. Spatial clustering of cases was detected in only one of the five study sites. The results showed that different risk factors than those found in urban areas may drive the prevalence of canine leishmaniasis in farm/forest interfaces, and that humans and wildlife risk infection in these areas. Domestic dog population limitation by gonadectomy, legal restriction of dog numbers per household and owner education are of the greatest importance for the control of visceral leishmaniasis in rural zones near forest fragments. ¬"
"We determined the prevalence of tick-borne pathogens in domestic dogs using microscopy and polymerase chain reaction (PCR) techniques. A total of 303 EDTA blood samples were collected from domestic dogs in Khon Kaen Province, Thailand, in May 2013. Microscopic observation of Giemsa-stained smears and molecular diagnosis using conventional PCR were performed. Infected dogs were treated with imidocarb dipropionate, a combination of imidocarb dipropionate and doxycycline, or doxycycline alone. Seventy-one (23.4%) out of 303 dogs were positive for DNA of tick-borne pathogens. Of the 303 animals, 13.2% and 1.3% were positive for a single infection with Babesia spp or Ehrlichia canis, respec- tively using microscopy; whereas 19.5% and 3.0% were positive using the PCR technique. Co-infection with Babesia spp and E. canis was observed in 0.7%, and coinfection with Hepatozoon canis and E. canis in 0.3%. Infected dogs were treated with the assigned drugs, and elimination of the pathogens was demonstrated by microscopy and PCR. The results indicated that while both microscopic and PCR diagnostic techniques were useful for tick-borne pathogen detection, PCR was more effective. Imidocarb dipropionate and doxycycline were found to be effective for treatment of babesiosis and ehrlichiosis, respectively. The present study suggests that the PCR technique has high sensitivity and specificity for Babesia and Ehrlichia diagnosis as well as for detection of Babesia spp, E. canis and H. canis DNA in EDTA blood specimens."	81506	"Molecular detection and treatment of tick-borne pathogens in domestic dogs in Khon Kaen, northeastern Thailand"	"Molecular detection and treatment of tick-borne pathogens in domestic dogs in Khon Kaen, northeastern Thailand | We determined the prevalence of tick-borne pathogens in domestic dogs using microscopy and polymerase chain reaction (PCR) techniques. A total of 303 EDTA blood samples were collected from domestic dogs in Khon Kaen Province, Thailand, in May 2013. Microscopic observation of Giemsa-stained smears and molecular diagnosis using conventional PCR were performed. Infected dogs were treated with imidocarb dipropionate, a combination of imidocarb dipropionate and doxycycline, or doxycycline alone. Seventy-one (23.4%) out of 303 dogs were positive for DNA of tick-borne pathogens. Of the 303 animals, 13.2% and 1.3% were positive for a single infection with Babesia spp or Ehrlichia canis, respec- tively using microscopy; whereas 19.5% and 3.0% were positive using the PCR technique. Co-infection with Babesia spp and E. canis was observed in 0.7%, and coinfection with Hepatozoon canis and E. canis in 0.3%. Infected dogs were treated with the assigned drugs, and elimination of the pathogens was demonstrated by microscopy and PCR. The results indicated that while both microscopic and PCR diagnostic techniques were useful for tick-borne pathogen detection, PCR was more effective. Imidocarb dipropionate and doxycycline were found to be effective for treatment of babesiosis and ehrlichiosis, respectively. The present study suggests that the PCR technique has high sensitivity and specificity for Babesia and Ehrlichia diagnosis as well as for detection of Babesia spp, E. canis and H. canis DNA in EDTA blood specimens."
"A 52-day old Rottweiler male dog had non-specific clinical signs of fever, lethargy, depression, lameness and inappetance. Giemsa stained blood smear examination revealed presence of Hepatozoon canis and Anaplasma phagocytophilum. Co-existence of the parasites in the same neutrophil was demonstrated as rare occurrence. The dog responded to parasite specific treatment."	81505	"Anaplasma phagocytophilum and hepatozoon canis infection in a dog from assam"	"Anaplasma phagocytophilum and hepatozoon canis infection in a dog from assam | A 52-day old Rottweiler male dog had non-specific clinical signs of fever, lethargy, depression, lameness and inappetance. Giemsa stained blood smear examination revealed presence of Hepatozoon canis and Anaplasma phagocytophilum. Co-existence of the parasites in the same neutrophil was demonstrated as rare occurrence. The dog responded to parasite specific treatment."
"Apart from being against the law, illegal waste dumping also poses a threat to human health and to the environment. Solid and decomposing waste is an ideal breeding ground for a number of rodents, insects, and other vermin that pose a health risk through the spread of infectious diseases. The main objective of this study was to survey disease vectors and rodents for the presence of Leishmania sp. from waste sites along the Istrian Peninsula in Slovenia and Croatia. During the survey five sandfly (Phlebotomus neglectus, P. perniciosus, P. papatasi, P. mascitii, Sergentomyia minuta) and five rodent species were collected (Rattus rattus, Mus musculus, Apodemus agrarius, A. flavicollis and A. sylvaticus). Sandfl ies and rodents were screened using a molecular probe to amplify an approximately 120 bp fragment of the kinetoplast DNA (kDNA) minicircle for the detection of Leishmania sp. parasites. Leishmania infantum DNA was detected in the spleen of one juvenile black rat (R. rattus). Despite few published records on Leshmania sp. infection in black rats, the addition of our record highlights the importance of further investigation into the frequency and distribution of such occurrences so that we may better classify the role of rodents as potential reservoirs of leishmaniasis in the Mediterranean basin."	81455	"Illegal waste sites as a potential micro foci of Mediterranean Leishmaniasis: First records of phlebotomine sand flies (Diptera: Psychodidae) from Slovenia"	"Illegal waste sites as a potential micro foci of Mediterranean Leishmaniasis: First records of phlebotomine sand flies (Diptera: Psychodidae) from Slovenia | Apart from being against the law, illegal waste dumping also poses a threat to human health and to the environment. Solid and decomposing waste is an ideal breeding ground for a number of rodents, insects, and other vermin that pose a health risk through the spread of infectious diseases. The main objective of this study was to survey disease vectors and rodents for the presence of Leishmania sp. from waste sites along the Istrian Peninsula in Slovenia and Croatia. During the survey five sandfly (Phlebotomus neglectus, P. perniciosus, P. papatasi, P. mascitii, Sergentomyia minuta) and five rodent species were collected (Rattus rattus, Mus musculus, Apodemus agrarius, A. flavicollis and A. sylvaticus). Sandfl ies and rodents were screened using a molecular probe to amplify an approximately 120 bp fragment of the kinetoplast DNA (kDNA) minicircle for the detection of Leishmania sp. parasites. Leishmania infantum DNA was detected in the spleen of one juvenile black rat (R. rattus). Despite few published records on Leshmania sp. infection in black rats, the addition of our record highlights the importance of further investigation into the frequency and distribution of such occurrences so that we may better classify the role of rodents as potential reservoirs of leishmaniasis in the Mediterranean basin."
"Objective: To study Leishmania infection in cats and its potential role in transmission of the disease to human by parasitological, serological and molecular methods in Ahar District, East Azerbaijan Province. Methods: In this study, 65 cats from different parts of Ahar Province were trapped. The cats were anesthetized with chloroform and blood samples were taken from jugular vein and tested by direct agglutination test. Spleen and liver smear samples were prepared in order to microscopically examine these organs, and also cultured in Novy-MacNeal-Nicolle and Roswell Park Memorial Institute 1 640 media. Finally, spleen tissue DNA was extracted to perform polymerase chain reaction analysis. Results: In direct agglutination test, 4 (6%) cats had a positive titer, while 14 (22%) cats had a titer of 1:80 which was suspected for an infection and 47 (72%) cats were negative. Culture results were negative and in polymerase chain reaction no amplification was observed. Conclusions: We found no case of feline visceral leishmaniasis. It needs more extensive studies by using a larger number of cats to firmly establish leishmaniasis in this area. ¬"	81447	"Study on leishmania infection in cats from Ahar, East Azerbaijan province and north west Iran by parasitological, serological and molecular methods"	"Study on leishmania infection in cats from Ahar, East Azerbaijan province and north west Iran by parasitological, serological and molecular methods | Objective: To study Leishmania infection in cats and its potential role in transmission of the disease to human by parasitological, serological and molecular methods in Ahar District, East Azerbaijan Province. Methods: In this study, 65 cats from different parts of Ahar Province were trapped. The cats were anesthetized with chloroform and blood samples were taken from jugular vein and tested by direct agglutination test. Spleen and liver smear samples were prepared in order to microscopically examine these organs, and also cultured in Novy-MacNeal-Nicolle and Roswell Park Memorial Institute 1 640 media. Finally, spleen tissue DNA was extracted to perform polymerase chain reaction analysis. Results: In direct agglutination test, 4 (6%) cats had a positive titer, while 14 (22%) cats had a titer of 1:80 which was suspected for an infection and 47 (72%) cats were negative. Culture results were negative and in polymerase chain reaction no amplification was observed. Conclusions: We found no case of feline visceral leishmaniasis. It needs more extensive studies by using a larger number of cats to firmly establish leishmaniasis in this area. ¬"
