"Abstract"	"Refid"	"Title"	"content"
"We report an outbreak of canine visceral leishmaniasis in Uruguay. Blood specimens from 11/45 dogs tested positive for Leishmania spp. Specimens of Lutzomyia longipalpis sand flies were captured; typing revealed Leishmania infantum. Our findings document an expansion of visceral leishmaniasis to southern South America and risk for vectorborne transmission to humans. ¬"	80805	"Autochthonous outbreak and expansion of canine visceral Leishmaniasis, Uruguay"	"Autochthonous outbreak and expansion of canine visceral Leishmaniasis, Uruguay | We report an outbreak of canine visceral leishmaniasis in Uruguay. Blood specimens from 11/45 dogs tested positive for Leishmania spp. Specimens of Lutzomyia longipalpis sand flies were captured; typing revealed Leishmania infantum. Our findings document an expansion of visceral leishmaniasis to southern South America and risk for vectorborne transmission to humans. ¬"
"Background & objectives: Visceral leishmaniasis (VL) is a fatal zoonotic disease in tropical and sub-tropical countries including Iran. Dogs constitute the main domestic reservoir for VL (kala-azar) in Iran but incidence of the disease in cats from Fars and East Azerbaijan provinces has led to propose them as secondary reservoirs, and possible expansion of the feline role in the transmission of disease. The aim of this study was to evaluate the prevalence of Leishmania infantum infection in stray cats in Kerman City by ELISA and PCR methods. Methods: In this cross-sectional descriptive study, 60 stray cats were randomly live trapped from different parts of Kerman City during a six month period between March and September 2014. About 3 ml blood samples were drawn from jugular vein of captured cats and a detailed questionnaire about demographic characteristics and clinical status of each cat was recorded by attending veterinarian. The complete blood counts and biochemistry analysis were performed for all cats. Finally collected sera samples were tested by an indirect enzyme-linked immunosorbent assay (ELISA) kit and PCR amplification method. Results: Prevalence of Leishmania infantum infection was 6.7 and 16.7% by ELISA and PCR assays, respectively. Infection rate was significantly higher in leukopenic cats, which were older than 3 yr. Interpretation & conclusion: The results of the study indicate that stray cats are at risk of L. infantum infection in Kerman City. Further, studies are required to elucidate the role of cats as potential reservoir host in the epidemiology of VL in endemic regions. ¬"	80804	"Feline visceral leishmaniasis in Kerman, southeast of Iran: Serological and molecular study"	"Feline visceral leishmaniasis in Kerman, southeast of Iran: Serological and molecular study | Background & objectives: Visceral leishmaniasis (VL) is a fatal zoonotic disease in tropical and sub-tropical countries including Iran. Dogs constitute the main domestic reservoir for VL (kala-azar) in Iran but incidence of the disease in cats from Fars and East Azerbaijan provinces has led to propose them as secondary reservoirs, and possible expansion of the feline role in the transmission of disease. The aim of this study was to evaluate the prevalence of Leishmania infantum infection in stray cats in Kerman City by ELISA and PCR methods. Methods: In this cross-sectional descriptive study, 60 stray cats were randomly live trapped from different parts of Kerman City during a six month period between March and September 2014. About 3 ml blood samples were drawn from jugular vein of captured cats and a detailed questionnaire about demographic characteristics and clinical status of each cat was recorded by attending veterinarian. The complete blood counts and biochemistry analysis were performed for all cats. Finally collected sera samples were tested by an indirect enzyme-linked immunosorbent assay (ELISA) kit and PCR amplification method. Results: Prevalence of Leishmania infantum infection was 6.7 and 16.7% by ELISA and PCR assays, respectively. Infection rate was significantly higher in leukopenic cats, which were older than 3 yr. Interpretation & conclusion: The results of the study indicate that stray cats are at risk of L. infantum infection in Kerman City. Further, studies are required to elucidate the role of cats as potential reservoir host in the epidemiology of VL in endemic regions. ¬"
"The intraleukocytic parasite, Hepatozoon canis, causes the sometimes fatal tick borne disease canine hepatozoonosis. In this study, dogs from Islamabad, Lahore, and Multan Districts of the Punjab region of Pakistan were surveyed to investigate the presence and prevalence of H. canis infection and to determine the effects of the parasite on hematological parameters. Blood samples were collected from 151 domestic dogs (149 pet, 2 stray) of both sexes and varying ages. Data on sex, age, tick infestation, and clinical factors (body temperature, mucous membrane status, and presence of hematuria and vomiting) were collected. Using PCR, 18 dogs (11.9%) were found positive for the presence of H. canis DNA. Partial sequences of the 18S rRNA gene shared 99-100% similarity with the corresponding H. canis isolates. This epidemiological survey revealed higher prevalence of H. canis in Islamabad (11/49, 22.4%) compared to Lahore (3/52, 5.8%) and Multan (4/50, 8%) in Pakistan. No investigated epidemiological or clinical factors were found to be associated with the presence of H. canis (p > 0.05) in dogs. H. canis positive dogs exhibited higher minimum inhibitory dilution (p = 0.04), mixed inclusion (p = 0.008) and relative distribution width of red blood cells (p = 0.02), and lower hematocrit (p = 0.03) and mean hemoglobin content (p = 0.03) than did dogs in which H. canis was not detected. We are recommending this PCR-based protocol to the veterinary practitioners for the detection and/or confirmation of H. canis in dogs suspected for hepatozoonosis to improve their health status. ¬"	80801	"Molecular Detection and Prevalence of Hepatozoon canis in Dogs from Punjab (Pakistan) and Hematological Profile of Infected Dogs"	"Molecular Detection and Prevalence of Hepatozoon canis in Dogs from Punjab (Pakistan) and Hematological Profile of Infected Dogs | The intraleukocytic parasite, Hepatozoon canis, causes the sometimes fatal tick borne disease canine hepatozoonosis. In this study, dogs from Islamabad, Lahore, and Multan Districts of the Punjab region of Pakistan were surveyed to investigate the presence and prevalence of H. canis infection and to determine the effects of the parasite on hematological parameters. Blood samples were collected from 151 domestic dogs (149 pet, 2 stray) of both sexes and varying ages. Data on sex, age, tick infestation, and clinical factors (body temperature, mucous membrane status, and presence of hematuria and vomiting) were collected. Using PCR, 18 dogs (11.9%) were found positive for the presence of H. canis DNA. Partial sequences of the 18S rRNA gene shared 99-100% similarity with the corresponding H. canis isolates. This epidemiological survey revealed higher prevalence of H. canis in Islamabad (11/49, 22.4%) compared to Lahore (3/52, 5.8%) and Multan (4/50, 8%) in Pakistan. No investigated epidemiological or clinical factors were found to be associated with the presence of H. canis (p > 0.05) in dogs. H. canis positive dogs exhibited higher minimum inhibitory dilution (p = 0.04), mixed inclusion (p = 0.008) and relative distribution width of red blood cells (p = 0.02), and lower hematocrit (p = 0.03) and mean hemoglobin content (p = 0.03) than did dogs in which H. canis was not detected. We are recommending this PCR-based protocol to the veterinary practitioners for the detection and/or confirmation of H. canis in dogs suspected for hepatozoonosis to improve their health status. ¬"
"Canine tick-borne pathogens such as Ehrlichia canis and Hepatozoon canis are widespread in the Mediterranean basin but have never been reported or investigated in Cyprus. We describe herein the presence of canine tick-borne pathogens in three dogs with clinical signs compatible with vector-borne diseases from Paphos area of Cyprus. Molecular and phylogenetic analysis revealed the presence of E. canis, Anaplasma platys, H. canis, Babesia vogeli and Mycoplasma haemocanis in Cyprus. One dog co-infected with E. canis, H. canis, B. vogeli and M. haemocanis is, to the best of our knowledge, the first report of this multiple co-infection in dogs. The tick-borne pathogens reported in the current study should be considered in the differential diagnoses in dogs exposed to ticks in Cyprus. ¬"	80800	"Canine tick-borne pathogens in Cyprus and a unique canine case of multiple co-infections"	"Canine tick-borne pathogens in Cyprus and a unique canine case of multiple co-infections | Canine tick-borne pathogens such as Ehrlichia canis and Hepatozoon canis are widespread in the Mediterranean basin but have never been reported or investigated in Cyprus. We describe herein the presence of canine tick-borne pathogens in three dogs with clinical signs compatible with vector-borne diseases from Paphos area of Cyprus. Molecular and phylogenetic analysis revealed the presence of E. canis, Anaplasma platys, H. canis, Babesia vogeli and Mycoplasma haemocanis in Cyprus. One dog co-infected with E. canis, H. canis, B. vogeli and M. haemocanis is, to the best of our knowledge, the first report of this multiple co-infection in dogs. The tick-borne pathogens reported in the current study should be considered in the differential diagnoses in dogs exposed to ticks in Cyprus. ¬"
"Leishmaniasis is a ‚Äúneglected tropical disease‚Äù and serious public health issue in Brazil. While dogs are recognized as particularly important reservoirs, recent reports of domestic cats infected with Leishmania sp. in urban areas suggest their participation in the epidemiological chain of the parasite in endemic areas. The aim of this study was to screen domestic cats for Leishmania sp. infection in an area where human and canine visceral leishmaniasis are endemic, followed by the identification of the species circulating in cats. We collected peripheral blood, lymph-node aspirates and bone marrow from 100 adult animals, both male and female, and analyzed the samples using cytological and molecular (PCR) detection techniques. We detected Leishmania in 6% of animals, which were then analyzed by RFLP-PCR to identify the species. Leishmania infantum (synonym: L. chagasi), a species responsible for visceral leishmaniasis in humans and other animals, was identified from all six samples. Amastigotes were observed in the peripheral blood, bone marrow and lymph-node aspirates in 4 of the 6 PCR-positive animals. The presence of infected cats in endemic areas should not be neglected, because it demonstrates the potential role of these animals in the biological cycle of the pathogen. ¬"	80920	"Molecular characterization of Leishmania infantum in domestic cats in a region of Brazil endemic for human and canine visceral leishmaniasis"	"Molecular characterization of Leishmania infantum in domestic cats in a region of Brazil endemic for human and canine visceral leishmaniasis | Leishmaniasis is a ‚Äúneglected tropical disease‚Äù and serious public health issue in Brazil. While dogs are recognized as particularly important reservoirs, recent reports of domestic cats infected with Leishmania sp. in urban areas suggest their participation in the epidemiological chain of the parasite in endemic areas. The aim of this study was to screen domestic cats for Leishmania sp. infection in an area where human and canine visceral leishmaniasis are endemic, followed by the identification of the species circulating in cats. We collected peripheral blood, lymph-node aspirates and bone marrow from 100 adult animals, both male and female, and analyzed the samples using cytological and molecular (PCR) detection techniques. We detected Leishmania in 6% of animals, which were then analyzed by RFLP-PCR to identify the species. Leishmania infantum (synonym: L. chagasi), a species responsible for visceral leishmaniasis in humans and other animals, was identified from all six samples. Amastigotes were observed in the peripheral blood, bone marrow and lymph-node aspirates in 4 of the 6 PCR-positive animals. The presence of infected cats in endemic areas should not be neglected, because it demonstrates the potential role of these animals in the biological cycle of the pathogen. ¬"
"Background. Rift Valley fever (RVF) is an acute viral anthropozoonosis that causes epizootics and epidemics among livestock population and humans. Multiple emergences and reemergences of the virus have occurred in Mauritania over the last decade. This article describes the outbreak that occurred in 2015 in Mauritania and reports the results of serological and molecular investigations of blood samples collected from suspected RVF patients. Methods. An RVF outbreak was reported from 14 September to 26 November 2015 in Mauritania. Overall, 184 suspected cases from different localities were identified by 26 health facilities. Blood samples were collected and tested by enzyme-linked immunosorbent assay (ELISA) and real-time reverse-transcription polymerase chain reaction (RT-PCR) at the Institut Pasteur de Dakar (IPD). Sequencing of partial genomes and phylogenetic analyses were performed on RT-PCR-positive samples. As part of routine surveillance at IPD, samples were also screened for dengue, yellow fever, West Nile, Crimean Congo hemorrhagic fever, Zika, and Chikungunya viruses by ELISA and RT-PCR. Results. Of the 184 suspected cases, there were 57 confirmed cases and 12 deaths. Phylogenetic analysis of the sequences indicated an emergence of a virus that originated from Northeastern Africa. Our results show co-circulation of other arboviruses in Mauritania-dengue, Crimean Congo hemorrhagic fever, and West Nile viruses. Conclusion. The Northeastern Africa lineage of RVF was responsible for the outbreak in Mauritania in 2015. Co-circulation of multiples arboviruses was detected. This calls for systematic differential diagnosis and highlights the need to strengthen arbovirus surveillance in Africa. ¬"	80799	"Detection of the Northeastern African Rift Valley fever virus lineage during the 2015 outbreak in Mauritania"	"Detection of the Northeastern African Rift Valley fever virus lineage during the 2015 outbreak in Mauritania | Background. Rift Valley fever (RVF) is an acute viral anthropozoonosis that causes epizootics and epidemics among livestock population and humans. Multiple emergences and reemergences of the virus have occurred in Mauritania over the last decade. This article describes the outbreak that occurred in 2015 in Mauritania and reports the results of serological and molecular investigations of blood samples collected from suspected RVF patients. Methods. An RVF outbreak was reported from 14 September to 26 November 2015 in Mauritania. Overall, 184 suspected cases from different localities were identified by 26 health facilities. Blood samples were collected and tested by enzyme-linked immunosorbent assay (ELISA) and real-time reverse-transcription polymerase chain reaction (RT-PCR) at the Institut Pasteur de Dakar (IPD). Sequencing of partial genomes and phylogenetic analyses were performed on RT-PCR-positive samples. As part of routine surveillance at IPD, samples were also screened for dengue, yellow fever, West Nile, Crimean Congo hemorrhagic fever, Zika, and Chikungunya viruses by ELISA and RT-PCR. Results. Of the 184 suspected cases, there were 57 confirmed cases and 12 deaths. Phylogenetic analysis of the sequences indicated an emergence of a virus that originated from Northeastern Africa. Our results show co-circulation of other arboviruses in Mauritania-dengue, Crimean Congo hemorrhagic fever, and West Nile viruses. Conclusion. The Northeastern Africa lineage of RVF was responsible for the outbreak in Mauritania in 2015. Co-circulation of multiples arboviruses was detected. This calls for systematic differential diagnosis and highlights the need to strengthen arbovirus surveillance in Africa. ¬"
"Background: Feline infectious agent studies are lacking in Cyprus. The aims of this study were to determine the prevalence and risk factors for various feline infectious agents, including feline vector-borne pathogens (FVBP), in cats from Cyprus. Methods: A cross-sectional, descriptive, multicentre study was performed on 174 feline samples [138 owned and 36 shelter-feral, including both healthy (43) and non-healthy (131), cats] from private veterinary clinics from all six districts of Cyprus. Real-time quantitative polymerase chain reaction (qPCR) assays were used to detect Mycoplasma haemofelis (Mhf), \"Candidatus Mycoplasma haemominutum\" (CMhm) and \"Candidatus Mycoplasma turicensis\" (CMt). The population was tested for four FVBP including Bartonella henselae and Leishmania spp. using qPCR, while conventional PCR assays were used to detect Ehrlichia/Anaplasma spp. and Hepatozoon spp. Serological assays were performed to detect Leishmania infantum antibodies, feline leukaemia virus (FeLV) antigen and feline immunodeficiency virus (FIV) antibodies. Statistical analysis was performed to test associations and possible risk factors between variables and infectious agents. Results: Ninety-six (55.2%) of the 174 cats were PCR-positive for at least one infectious agent. Forty-six cats (26.4%) were haemoplasma positive, including 13 (7.5%) for Mhf, 36 (20.7%) for CMhm and 12 (6.9%) for CMt. Sixty-six cats (37.9%) were positive for Hepatozoon spp., while 19 (10.9%) were positive for B. henselae, four (2.3%) for Leishmania spp. and one (0.6%) for Ehrlichia/Anaplasma spp. Sequencing revealed the presence of Hepatozoon felis, L. infantum and Anaplasma platys. Of the 164 cats that underwent retroviral serology, 10 (6.1%) were FeLV-positive and 31 (18.9%) were FIV-positive, while L. infantum serology was positive in 7 (4.4%) of the 160 cats tested. Multivariable logistic regression revealed significant associations for various infectious agents including L. infantum with each of Hepatozoon spp. and CMt infection. Conclusions: A high prevalence of infectious agents was found in cats from Cyprus with Mhf, CMhm, CMt, L. infantum, B. henselae, H. felis, A. platys, FeLV and FIV infections reported for the first time. The significant associations between different pathogens provide a better understanding of similarities in the epidemiology of these pathogens and interactions between them. ¬"	80784	"Prevalence study and risk factor analysis of selected bacterial, protozoal and viral, including vector-borne, pathogens in cats from Cyprus"	"Prevalence study and risk factor analysis of selected bacterial, protozoal and viral, including vector-borne, pathogens in cats from Cyprus | Background: Feline infectious agent studies are lacking in Cyprus. The aims of this study were to determine the prevalence and risk factors for various feline infectious agents, including feline vector-borne pathogens (FVBP), in cats from Cyprus. Methods: A cross-sectional, descriptive, multicentre study was performed on 174 feline samples [138 owned and 36 shelter-feral, including both healthy (43) and non-healthy (131), cats] from private veterinary clinics from all six districts of Cyprus. Real-time quantitative polymerase chain reaction (qPCR) assays were used to detect Mycoplasma haemofelis (Mhf), \"Candidatus Mycoplasma haemominutum\" (CMhm) and \"Candidatus Mycoplasma turicensis\" (CMt). The population was tested for four FVBP including Bartonella henselae and Leishmania spp. using qPCR, while conventional PCR assays were used to detect Ehrlichia/Anaplasma spp. and Hepatozoon spp. Serological assays were performed to detect Leishmania infantum antibodies, feline leukaemia virus (FeLV) antigen and feline immunodeficiency virus (FIV) antibodies. Statistical analysis was performed to test associations and possible risk factors between variables and infectious agents. Results: Ninety-six (55.2%) of the 174 cats were PCR-positive for at least one infectious agent. Forty-six cats (26.4%) were haemoplasma positive, including 13 (7.5%) for Mhf, 36 (20.7%) for CMhm and 12 (6.9%) for CMt. Sixty-six cats (37.9%) were positive for Hepatozoon spp., while 19 (10.9%) were positive for B. henselae, four (2.3%) for Leishmania spp. and one (0.6%) for Ehrlichia/Anaplasma spp. Sequencing revealed the presence of Hepatozoon felis, L. infantum and Anaplasma platys. Of the 164 cats that underwent retroviral serology, 10 (6.1%) were FeLV-positive and 31 (18.9%) were FIV-positive, while L. infantum serology was positive in 7 (4.4%) of the 160 cats tested. Multivariable logistic regression revealed significant associations for various infectious agents including L. infantum with each of Hepatozoon spp. and CMt infection. Conclusions: A high prevalence of infectious agents was found in cats from Cyprus with Mhf, CMhm, CMt, L. infantum, B. henselae, H. felis, A. platys, FeLV and FIV infections reported for the first time. The significant associations between different pathogens provide a better understanding of similarities in the epidemiology of these pathogens and interactions between them. ¬"
"The knowledge about the vector-borne infections in domestic dogs has been increasing worldwide. However no studies have been done on hard tick infestation and tick-borne pathogens (TBPs) of dogs present in Malta. Therefore, a total of 99 dogs was selected and inspected between March and July 2013 in 18 urban and 17 rural areas on the islands of Malta and Gozo. All ticks were removed from the dogs and identified. Blood samples were taken and tested for protozoa (Babesia spp. and Hepatozoon spp.) and bacteria (Anaplasma spp., Ehrlichia spp., Rickettsia spp.) by conventional PCR. All of the ticks collected from 34 (34.3%; 95% CI: 26‚Äì44) dogs belong to the species Rhipicephalus sanguineus sensu lato. Tick infestation on the farm dogs was significantly higher than that of dogs kept outdoors as pets (OR: 15.19, 95% CI: 2.72‚Äì118.92, p¬†<¬†0.001) or in a sanctuary (OR: 35.11, 95% CI: 3.20‚Äì1986.67, p¬†<¬†0.001). Altogether 22 animals were infected with one or two TBPs, most of them with Hepatozoon canis (16/22; 72.7%). Anaplasma platys and Babesia vogeli were detected in 5 and 4 dogs, respectively. Three dogs had co-infections caused by H. canis and A. platys. To the best of our knowledge, this is the first report on tick infestation and TBPs of dogs in Malta. ¬"	80802	"First detection of tick-borne pathogens of dogs from Malta"	"First detection of tick-borne pathogens of dogs from Malta | The knowledge about the vector-borne infections in domestic dogs has been increasing worldwide. However no studies have been done on hard tick infestation and tick-borne pathogens (TBPs) of dogs present in Malta. Therefore, a total of 99 dogs was selected and inspected between March and July 2013 in 18 urban and 17 rural areas on the islands of Malta and Gozo. All ticks were removed from the dogs and identified. Blood samples were taken and tested for protozoa (Babesia spp. and Hepatozoon spp.) and bacteria (Anaplasma spp., Ehrlichia spp., Rickettsia spp.) by conventional PCR. All of the ticks collected from 34 (34.3%; 95% CI: 26‚Äì44) dogs belong to the species Rhipicephalus sanguineus sensu lato. Tick infestation on the farm dogs was significantly higher than that of dogs kept outdoors as pets (OR: 15.19, 95% CI: 2.72‚Äì118.92, p¬†<¬†0.001) or in a sanctuary (OR: 35.11, 95% CI: 3.20‚Äì1986.67, p¬†<¬†0.001). Altogether 22 animals were infected with one or two TBPs, most of them with Hepatozoon canis (16/22; 72.7%). Anaplasma platys and Babesia vogeli were detected in 5 and 4 dogs, respectively. Three dogs had co-infections caused by H. canis and A. platys. To the best of our knowledge, this is the first report on tick infestation and TBPs of dogs in Malta. ¬"
"Background: The spleen is a highly perfused organ involved in the immunological control and elimination of vector-borne pathogens (VBP), which could have a fundamental role in the pathogenesis of splenic disease. This study aimed to evaluate certain VBP in samples from dogs with splenic lesions. Methods: Seventy-seven EDTA-blood and 64 splenic tissue samples were collected from 78 dogs with splenic disease in a Mediterranean area. Babesia spp., Bartonella spp., Ehrlichia/Anaplasma spp., Hepatozoon canis, Leishmania infantum, hemotropic Mycoplasma spp. and Rickettsia spp. were targeted using PCR assays. Sixty EDTA-blood samples from dogs without evidence of splenic lesions were included as a control group. Results: More than half (51.56%) of the biopsies (33/64) were consistent with benign lesions and 48.43% (31/64) with malignancy, mostly hemangiosarcoma (25/31). PCR yielded positive results in 13 dogs with spleen alterations (16.67%), for Babesia canis (n = 3), Babesia gibsoni (n = 2), hemotropic Mycoplasma spp. (n = 2), Rickettsia massiliae (n = 1) and \"Babesia vulpes\" (n = 1), in blood; and for B. canis, B. gibsoni, Ehrlichia canis and L. infantum (n = 1 each), in spleen. Two control dogs (3.3%) were positive for B. gibsoni and H. canis (n = 1 each). Benign lesions were detected in the 61.54% of infected dogs (8/13); the remaining 38.46% were diagnosed with malignancies (5/13). Infection was significantly associated to the presence of splenic disease (P = 0.013). There was no difference in the prevalence of infection between dogs with benign and malignant splenic lesions (P = 0.69); however B. canis was more prevalent in dogs with hemangiosarcoma (P = 0.006). Conclusions: VBP infection could be involved in the pathogenesis of splenic disease. The immunological role of the spleen could predispose to alterations of this organ in infected dogs. Interestingly, all dogs with B. canis infection were diagnosed with hemangiosarcoma in the present survey. As previously reported, results support that VBP diagnosis could be improved by analysis of samples from different tissues. The sample size included here warrants further investigation. ¬"	80780	"Molecular detection of vector-borne pathogens in blood and splenic samples from dogs with splenic disease"	"Molecular detection of vector-borne pathogens in blood and splenic samples from dogs with splenic disease | Background: The spleen is a highly perfused organ involved in the immunological control and elimination of vector-borne pathogens (VBP), which could have a fundamental role in the pathogenesis of splenic disease. This study aimed to evaluate certain VBP in samples from dogs with splenic lesions. Methods: Seventy-seven EDTA-blood and 64 splenic tissue samples were collected from 78 dogs with splenic disease in a Mediterranean area. Babesia spp., Bartonella spp., Ehrlichia/Anaplasma spp., Hepatozoon canis, Leishmania infantum, hemotropic Mycoplasma spp. and Rickettsia spp. were targeted using PCR assays. Sixty EDTA-blood samples from dogs without evidence of splenic lesions were included as a control group. Results: More than half (51.56%) of the biopsies (33/64) were consistent with benign lesions and 48.43% (31/64) with malignancy, mostly hemangiosarcoma (25/31). PCR yielded positive results in 13 dogs with spleen alterations (16.67%), for Babesia canis (n = 3), Babesia gibsoni (n = 2), hemotropic Mycoplasma spp. (n = 2), Rickettsia massiliae (n = 1) and \"Babesia vulpes\" (n = 1), in blood; and for B. canis, B. gibsoni, Ehrlichia canis and L. infantum (n = 1 each), in spleen. Two control dogs (3.3%) were positive for B. gibsoni and H. canis (n = 1 each). Benign lesions were detected in the 61.54% of infected dogs (8/13); the remaining 38.46% were diagnosed with malignancies (5/13). Infection was significantly associated to the presence of splenic disease (P = 0.013). There was no difference in the prevalence of infection between dogs with benign and malignant splenic lesions (P = 0.69); however B. canis was more prevalent in dogs with hemangiosarcoma (P = 0.006). Conclusions: VBP infection could be involved in the pathogenesis of splenic disease. The immunological role of the spleen could predispose to alterations of this organ in infected dogs. Interestingly, all dogs with B. canis infection were diagnosed with hemangiosarcoma in the present survey. As previously reported, results support that VBP diagnosis could be improved by analysis of samples from different tissues. The sample size included here warrants further investigation. ¬"
"Vector-borne diseases (VBDs) are prevalently investigated in dogs. Studies on feline VBDs are scant, though feline leishmaniosis (FeL) is increasingly recognised as a disease of cats in endemic areas. Comprehensive investigations on the distribution of VBDs in populations of cats and dogs living in relatively small geographical areas, such as islands, are currently lacking. In this study the prevalence of Leishmania infantum and other VBD pathogens was assessed in cohorts of cats and dogs living in the Aeolian Islands. Autochthonous animals (330 cats and 263 dogs) of different age and sex were sampled. Blood and conjunctival samples were collected from cats and dogs for serological and molecular testing. Eighty-five (25.8%) cats were positive for L. infantum, 13 (3.9%) for Bartonella spp. and 1 (0.3%) for Hepatozoon felis. One-hundred and ten dogs (41.8%) were positive for L. infantum and three (1.1%) for Hepatozoon canis. The incidence of L. infantum infection in cats positive after one season of exposure to sand fly was 14.7%. Leishmania infantum prevalence and year incidence were higher in dogs than in cats (p¬†=¬†0.0001 and p¬†=¬†0.0003, respectively). Thirty-four cats (10.3%) scored positive for ticks (mean intensity rate of infestation, 2.03¬†¬±¬†1.4), which were identified to the species level as Ixodes ventalloi and Rhipicephalus pusillus. Conversely, Rhipicephalus sanguineus sensu lato (s.l.) was the only species identified in dogs (10.6%). A larger prevalence of infestation by Ctenocephalides felis was recorded in cats (n¬†=¬†91; 27.6%) than in dogs (n¬†=¬†33; 12.5%) (p¬†=¬†0.0001). In addition, one female Nosopsyllus fasciatus (syn. Ceratophyllus fasciatus) and one male Spilopsyllus cuniculi were also identified in flea-infected cats. VBDs are endemic in the Aeolian Islands being L. infantum the most prevalent vector-borne pathogen circulating between cats and dogs. The overall seroprevalence of FeL herein recorded is higher than that assessed, only by IFAT, in populations of cats in Greece and in Spain. Because L. infantum and VBDs are more commonly associated with dogs, the recognition of cats as hosts of different vector-borne pathogens is of paramount importance towards a better management of these diseases in both animals and humans. ¬"	80773	"Feline and canine leishmaniosis and other vector-borne diseases in the Aeolian Islands: Pathogen and vector circulation in a confined environment"	"Feline and canine leishmaniosis and other vector-borne diseases in the Aeolian Islands: Pathogen and vector circulation in a confined environment | Vector-borne diseases (VBDs) are prevalently investigated in dogs. Studies on feline VBDs are scant, though feline leishmaniosis (FeL) is increasingly recognised as a disease of cats in endemic areas. Comprehensive investigations on the distribution of VBDs in populations of cats and dogs living in relatively small geographical areas, such as islands, are currently lacking. In this study the prevalence of Leishmania infantum and other VBD pathogens was assessed in cohorts of cats and dogs living in the Aeolian Islands. Autochthonous animals (330 cats and 263 dogs) of different age and sex were sampled. Blood and conjunctival samples were collected from cats and dogs for serological and molecular testing. Eighty-five (25.8%) cats were positive for L. infantum, 13 (3.9%) for Bartonella spp. and 1 (0.3%) for Hepatozoon felis. One-hundred and ten dogs (41.8%) were positive for L. infantum and three (1.1%) for Hepatozoon canis. The incidence of L. infantum infection in cats positive after one season of exposure to sand fly was 14.7%. Leishmania infantum prevalence and year incidence were higher in dogs than in cats (p¬†=¬†0.0001 and p¬†=¬†0.0003, respectively). Thirty-four cats (10.3%) scored positive for ticks (mean intensity rate of infestation, 2.03¬†¬±¬†1.4), which were identified to the species level as Ixodes ventalloi and Rhipicephalus pusillus. Conversely, Rhipicephalus sanguineus sensu lato (s.l.) was the only species identified in dogs (10.6%). A larger prevalence of infestation by Ctenocephalides felis was recorded in cats (n¬†=¬†91; 27.6%) than in dogs (n¬†=¬†33; 12.5%) (p¬†=¬†0.0001). In addition, one female Nosopsyllus fasciatus (syn. Ceratophyllus fasciatus) and one male Spilopsyllus cuniculi were also identified in flea-infected cats. VBDs are endemic in the Aeolian Islands being L. infantum the most prevalent vector-borne pathogen circulating between cats and dogs. The overall seroprevalence of FeL herein recorded is higher than that assessed, only by IFAT, in populations of cats in Greece and in Spain. Because L. infantum and VBDs are more commonly associated with dogs, the recognition of cats as hosts of different vector-borne pathogens is of paramount importance towards a better management of these diseases in both animals and humans. ¬"
