Refid	Author	Title	content
1134	G. Lobinger and U. Skatulla	"Studies on the survivability and development of gypsy moth larvae of two different origins, Lymantria dispar L. (Lep.: Lymantriidae) as a function of the host plant"	"The polyphagous gypsy moth (Lymantria dispar) is able to feed on about 400 different woody plant species. In general, oak species are preferred-on the other hand some other groups of plants are avoided on account of the presence of toxic substances. These unfavoured hosts are, for example, most of the Papilionaceae, like locust (Robinia pseudoacacia). We compared survival rate and development of two populations of different origin with long-term habituation to oak and locust, respectively. Larvae from the population habituated to oak proved unable to develop on locust food. There must be a lack of detoxification systems to modify the toxic alcaloids and flavenoids produced by Robinia pseudoacacia. On the other hand, larvae isolated from an locust stand were able to feed on oak leaves without problems in larval development or eclosion of adults. Gypsy moth larvae specialized on locust as host showed increased mortality (up to 27%) in the early larval instars, but the surviving animals, especially female individuals, reached significantly higher pupal weights and showed better fecundity: 40% higher egg numbers/egg mass compared to those feeding on oak. These results indicate that the gypsy moth population originating from the locust forest had achieved a high level of metabolic adaptation to this host plant and formed a 'biotype' of Lymantria dispar with optimal reproductive conditions in this special habitat."
232	V. V. Martynov and T. V. Nikulina	New invasive phytophagous insects in woods and forest plantings of Donbass	"The article presents information about 19 species of invasive phytophagous insects which were registered during the last 20 years on the territory of Donbass. Three species (Trichoferus campestris, Xyleborinus attenuatus and Anisandrus maiche) belong to the group of specialized xylophages, which can damage physiologically weakened trees and be technical pests. Monophagous and oligophagous species represent a larger group of invaders. Four species were associated with Robinia pseudoacacia: Obolodiplosis robiniae, Phyllonorycter robiniella, Parectopa robiniella and Nematus tibialis; two species with Gleditsia triacanthos: Dasineura gleditchiae and Megabruchidius dorsalis. Only one invasive species (Phloeosinus aubei) was found on the Cupressaceae plants (Juniperus virginiana, J. sabina, Thuja occidentalis). Pityogenes bistridentatus was associated with Pinus nigra pallasiana, Leptoglossus occidentalis with Pinus sylvestris, Exechesops foliatus with Acer tataricum and A. ginnala, Acanthoscelides pallidipennis with Amorpha sp., Monarthropalpus flavus with Buxus sempervirens, Lignyodes bischoffi with Fraxinus pennsylvanica, Bruchophagus sophorae with Sophora japonica, Cameraria ohridella with Aesculus hippocastanum, Aproceros leucopoda with Ulmus pumila. It was found, that neighboring invaders from European, Caucasian and Mediterranean fauna, which previously were limited by the range of host-plants are the main invasive phytophagous insects in forest plantations of Donbass in the end of the XX century. Distant invaders, which were transferred from North America (8 species), Southeast Asia (3 species) and Far East (3 species) form the faunistic basis of contemporary complex of invaders."
1140	T. Degomez and M. R. Wagner	Arthropod diversity of exotic vs. native Robinia species in northern Arizona	"Arthropods were collected on native locust, Robinia neomexicana A. Gray, and exotic Robinia pseudoacacia L. in northern Arizona over a 2-year period to determine the number of arthropod species and number of individuals present. 2 More arthropod species were found on the native (251) than on the exotic Robinia (174). 3 Greater species diversity was likewise found on the native than the exotic. The five most numerous insects collected each year accounted for 81% to 91% of the total number collected on the exotic and native Robinia in 1997 and 1998. Only 12 species occurred on both the native and exotic Robinia in both years. 4 These findings are discussed in the context of using exotic trees in plantations and ecological theory regarding rates of arthropod species accumulation on exotic hosts."
1803	E. I. Kuznetsova and N. K. Neupokoeva	The protection of tree and shrub species	"Laboratory investigations in the Rostov region of the USSR in 1976-77 revealed the presence there of 31 species of insect pests and 36 diseases of ornamental trees and shrubs. Young plants of sweet briar [Rosa] were infested by Allantus cinctus (L.), various trees by Aporia crataegi (L.) and Euproctis similis (Fuessly), and Prunus species by Malacosoma neustria (L.), but the most injurious pests of all were mole-crickets [Gryllotalpa] in nurseries of both coniferous and broad-leaved trees, various aphids on Robinia pseudacacia, privet [Ligustrum vulgare], young rooted seedlings of Ribes aureum and other plants, and Lymantria dispar (L.) on seedlings of lime [Tilia] and sweet briar. In 1977, considerable damage was caused by larvae of Loxostege sticticalis (L.) to seedlings of sweet briar, lime and Sorbus in the Rostov area. Older seedlings were subject to a variety of stem-feeding pests. Control measures are discussed. Poisoned baits are effective against Gryllotalpa, sprays of biochemical preparations against some of the larval pests, with or without the addition of small additions of chemical insecticides such as trichlorphon (chlorophos), and chlorophos alone against others such as L. sticticalis. The control of diseases is separately discussed, but no combined measures against the 2 kinds of pests are mentioned."
1422	"V. K. Gupta, S. Sunita and L. N. Bhardwaj"	Management of fusarial wilt of black locust	"Two experiments are reported on the use of cultural practices to control wilt caused by Fusarium (F. oxysporum, F. equiseti and F. semitectum [F. pallidoroseum]) on Robinia pseudoacacia in Himachal Pradesh. In the first, sterilized mustard [?Brassica napus], soyabean [Glycine max] and cotton [Gossypium] oilseed cakes, pine [Pinus] needles and wheat [Triticum] straw were mixed with soil at 2.5% (oilseed cakes) or 3.5% (other amendments) in pots which were inoculated with Fusarium and then planted with 1-month-old seedlings. Disease incidence recorded after 45 days was reduced by all the amendments except for pine needles. Cotton cake was the best for reducing infection by F. oxysporum, mustard cake and wheat straw against F. equiseti, and wheat straw against F. semitectum. In the second experiment, radishes [Raphanus sativus], sarson [Brassica napus], carrots [Daucus carota] and gram [Vigna] were sown in pots and grown for one season (October 1989 to January 1990) and then tree seedlings were transplanted to the same pots and inoculated with Fusarium. Different watering schedules were applied, and disease incidence was recorded after 30-60 days. Disease incidence was least in the radish pots for F. oxysporum, the carrot pots for F. equiseti, and the mustard pot for F. semitectum. Plants watered daily developed more disease than those watered less frequently."
1428	"C. Sidor, I. Jodal and L. Dusanic"	Microbial diseases of gypsy moth (Porthetria dispar) in black locust forest	"Microsporidia (Nosema serbica, Nosema sp.) and viruses (Baculo-viruses) were found in gypsy moth egg caterpillars, i.e. before their hatching. These pathogens which cause the diseases were represented by different intensity in the gypsy moth caterpillars during their nutrition, as well, what gave rise to the appearance of the disease and led to the decrease in a number of caterpillars mostly in older stages. The disease was also observed both in pupae and moths in the period of several years and it resulted in a decrease of gypsy moth population to a such degree that this insect pest was very rare and even could hardly been found in 1990 and 1991 in \Bagremara\"" - a forest where it lives on Robinia leaves."""
14	"B. Lagowska, K. Golan and M. Michalski"	"First record of Pulvinaria regalis CANARD, 1968 (Hemiptera: Coccomorpha: Coccidae) in Poland"	"Pulvinaria regalis has been recorded for the first time in Poland. This species was observed in large numbers on Acer pseudoplatanu, A. platanoides, Aesculus hippocastanum, Robinia pseudacacia, Tilia x euchlora and T. cordata in urban areas. Basic diagnostic information for this species and a key to separate the species of Pulvinaria recorded in Poland is provided. Aspects of the distribution, biology and economic importance of P. regalis are also discussed."
729	"M. J. Lear, O. Simon, T. L. Foley, M. D. Burkart, T. J. Baiga, J. P. Noel, A. G. DiPasquale, A. L. Rheingold and J. J. La Clair"	Laetirobin from the Parasitic Growth of Laetiporus sulphureus on Robinia pseudoacacia	"(+/-)-Laetirobin (1) was isolated as a cytostatic lead from Laetiporus sulphureus growing parasitically on the black locust tree, Robinia pseudoacacia, by virtue of a reverse-immunoaffinity system. Using an LC/MS procedure, milligram quantities of (+/-)-laetirobin (1) were obtained, and the structure of 1 was elucidated by X-ray crystallography and confirmed by NMR spectroscopy. Preliminary cellular studies indicated that (+/-)-laetirobin (1) rapidly enters in tumor cells, blocks cell division at a late stage of mitosis, and invokes apoptosis."
400	"M. Mrdakovic, B. Stojkovic, L. Ilijin, M. Vlahovic, V. Peric-Mataruga and J. Lazarevic"	TESTING THE ADAPTIVE PLASTICITY OF GYPSY MOTH DIGESTIVE ENZYMES IN RESPONSE TO TANNIC ACID USING PHENOTYPIC SELECTION ANALYSIS	"The adaptive significance of plasticity of digestive enzyme responses to allelochemical stress was tested on 32 full-sib gypsy moth families from an oak forest (the Quercus population) and 26 families from a locust-tree forest (the Robinia population), reared on control or tannic acid-supplemented diets. By using the relative growth rate as a fitness measure in phenotypic selection analyses, we revealed that higher specific activity of leucine aminopeptidase in Quercus larvae and lower specific activity of trypsin in Robinia larvae were adaptive in the control environment. In Quercus larvae, elevated specific activities of leucine aminopeptidase and lipase were adaptive in the stressful environment. There were no plasticity costs for the enzyme activities in either experimental group. The obtained results suggest that adaptive plasticity of digestive enzyme activity in gypsy moth larvae contributes to optimal growth rate under various environmental conditions."
143	"S.-j. Wang, C.-l. Lin, D.-h. Yan, S.-s. Yu, Y. Li, L.-f. Wang, C.-g. Piao, M.-w. Guo, W.-x. Huai and G.-z. Tian"	Diagnostics and Detection of Different Groups Phytoplasmas in China Using an Oligonucleotide Microarray on the Platform of ArrayTube	"[Objective] To find the optimal specific probe and develop the detection technique using oligonucleotide microarray on the platform of ArrayTube to detect and identify the phytoplasmas associated with plant disease in China. [Method] PCR amplification and microarray hybridization were used to detect 15 symptomatic plants probablyinfected with phytoplasma and asymptomatic plants as healthy controls collected from different regions in China. [Result] Phytoplasma 16S rDNA were detected in 13 of 15 symptomatic plants but not in all the healthy controls. Thirteen phytoplasmas were classified into 16Sr I, 16Sr II, 16Sr V and 16Sr XIX groups. Among 17 tested probes, the universal probe designated Pp-502 could be used to detect all phytoplasmas associated with plant disease. The specific probe designated Pp I-465 for 16Sr I group could be used to detect four phytoplasma strains of 16Sr I group associated with paulownia witches' -broom, chinaberry witches ' -broom, mulberry dwarf and lettuce yellows. The probe Pp II-629 for 16Sr II could be used to detect three phytoplasma strains 16Sr II group associated with peanut witches' -broom, sweet potato witches' -broom and cleome witches' -broom. Three phytoplasma strains of 16Sr V associated with jujube witches ' -broom, cherry lethal yellows and Bischofia polycarpa witches broom and chestnut yellows crinkle phytoplasma of 16Sr XIX could also be detected by specific probes, but they showed obvious.cross hybridization with other group probes. Compared with PCR amplification, the sensitivity of microarray to detect phytoplasma in plant increased by 1000-fold. Phytoplasmas of 16SrI and 16SrV group respectively were detected in periwinkle with symptoms of phyllody and witches' -broom collected from Fujian province and Robinia hispida with symptom of witches ' -broom collected from Henan province. While no phytoplasma was detected in peony with symptom of yellowing collected from Beijing and willow with symptom of witches' broom collected from Inner Mongolia Autonomous Region. [Conclusion] The oligonucleotide microarray on the platform of ArrayTube could be used as a method to investigate phytoplasmas in China, and could provide a sound basis for the phytoplasma identification and classification."
1687	P. W. Talboys and M. K. Davies	Robinia stem canker	"Lesions developing on 2-yr old trees of R. pseudoacacia yielded isolates of Fusarium avenaceum and, less frequently, F. lateritium [Gibberella baccata]."
1075	"D. Rigling, P. Lawrenz, H. Blauenstein and U. Heiniger"	An experimental study of the effects of ozone on tree-Armillaria interactions	"The effect of ozone on Armillaria root diseases was investigated in open top chambers applying a gradient of four environmentally realistic ozone levels. Tree-Armillaria interactions studied included Picea abies-A. ostoyae (two host provenances-three fungal isolates), Pinus sylvestris-A. ostoyae, Castanea sativa-A. mellea, and Robinia pseudoacacia-A. mellea. Logistic regression analysis showed no significant effect of the ozone treatment on tree mortality for all tree-Armillaria interactions. A significant effect of host provenance and fungal isolate on tree mortality was found in the P. abies-A. ostoyae interactions. Seedling mortality was higher in the P. abies provenance from low-altitude compared to the high-altitude spruce and one A. ostoyae isolate killed significantly more seedlings than the other two isolates. Differences in virulence expression among the three A. ostoyae isolates were not related to rhizomorph production. The results suggest that the tree-Armillaria interactions studied do not respond very sensitively to elevated ozone exposure."
999	E. Olivella	Biology of two leafminers species of the black locust (Robinia pseudoacacia) in Catalonia (Lepidoptera: Gracillariidae)	"The species Phyllonorycter robiniella (Clemens, 1859) and Parectoparobiniella Clemens, 1863 have some similarities: they are native from the east of North America and have arrived to the Iberian Peninsula in recent times, they feed on leaves of the same host plant: the Black Locust (Robinia pseudoacacia). Nevertheless they have different biological cycles: the first one mines the underside of leaves and the second the upperside; Phyllonorycter robiniella is gregarious and pupates inside the mine and Parectopa robiniella is solitary and pupates in a cocoon outside of the mine. This communication provides information and images on the biology of both species. Also, the importance of these species and their \negative\"" influence on ecosystems will be evaluated."""
1367	S. G. Vanev	"DISCOSIA JORDANOVII, SP-NOV"	"Discosia jordanovii - a new species of genus Discosia Lib. (Deuteromycotina, Coelomycetes), found on dead leaves of Robinia sp. in Italy is described and illustrated. During a taxonomic revision of genus Discosia Lib.(Deuteromycotina, Coelomycetes) a herbarium specimen labelled ''Discosia artocreas (Tode) Fr. f. robiniae'' (unpublished name) received from Institute de Botanica C. Spegazzini, La Plate, Argentina (LPS) was studied. The fungus found on dead leaves of Robinia sp. by Spegazzini in Italy, is a typical Discosia, belonging to Section Laurina Vanev (Vanev, 1991). In the present paper a new species is described, illustrated and compared with D. laurina Caldesi - a type species of the section."
1294	R. Hong and Y. Ji	Studies on pathogenic fungus of canker of black locust	"Fusarium oxysporum and F. solani were identified as the causative agents of serious canker of black locust [Robinia pseudoacacia] in coastal areas of Shandong, China."
1263	"D. W. Lee, H. Y. Choo, J. M. Chung, S. M. Lee, T. W. Lee and Y. D. Park"	"Host plants and preference of brown chafer, Adoretus tenuimaculatus waterhouse (Coleoptera: Scarabaeidae)"	"Host plants and host preference of brown chafer, Adoretus tenuimaculatus Waterhouse (Coleoptera: Scarabaeidae) were investigated in fields and laboratory. 66 kinds of plants in 25 families were recorded as host during the field survey and 14 kinds in 5 families were verified to be eaten by artificial plant supply. Thus, host plants of A. tenuimaculatus were 186 kinds in 42 families in total including 136 kinds of plants in 32 families from literatures. 50 plants in 19 families were newly recorded as host of A. tenuimaculatus in this study. A. tenuimaculatus was the most frequently visited to Juglans sinensis and Castanea crenata was the highest damaged plant. C. crenata, Robinia pseudoacacia, Malus sieboldii, J. sinensis, Quercus mongolica, and Q. aliena were considerably highly preferred host plant. However, A. tenuimaculatus never visited to Diospyros lotus, J. nigra, Fraxinus mandshurica, F. rhynchophylla, Pyracantha angustifolia, Paulownia coreana, and Celtis sinensis. Even the same host plant of A. tenuimaculatus, preference was different according to observed place and damage level was also different depending on observed place and time."
692	C. Hansson and E. Shevtsova	Three new species of Achrysocharoides Girault (Hymenoptera: Eulophidae) parasitoids of Phyllonorycter spp. (Lepidoptera: Gracillariidae) on Acer platanoides and Robinia pseudoacacia	"Three new species of Achrysocharoides are described, one from northern Europe, A. platanoidae sp. nov., one from central Europe and the U. S. A., A. robiniae sp. nov., and one from the U. S. A., A. robinicolus sp. nov. The descriptions are based on material reared from microlepidopterans of the genus Phyllonorycter Hubner (Gracillariidae): A. platanoidae from P. platanoidella (Joannis) on Acer platanoides, and A. robiniae and A. robinicolus from P. robiniella (Clemens) on Robinia pseudoacacia (black locust). The new species are very similar to previously described species, A. platanoidae to A. acerianus (Askew), and A. robiniae and A. robinicolus to A. gahani (Miller), but they are shown here to differ from their sibling species both in biology and in external morphology. The host of A. robiniae and A. robinicolus, P. robiniella, is a serious pest on the black locust tree in Europe, and the descriptions with diagnoses of these two species, and their scientific names, introduced here will aid the biological control efforts of this pest."
1650	"R. G. Strouts, D. R. Rose, T. C. Reffold, D. B. Redfern, S. C. Gregory, J. E. Pratt, J. N. Gibbs, B. J. W. Greig and I. T. Hickman"	Pathology	"In southern England and Wales many cases of Phytophthora root-killing were reported on sizeable trees, including P. cinnamomi on yew, P. citricola on yew and Robinia X hillieri (the first record on R. sp.), and P. cryptogea on Lawson cypress (Chamaecyparis lawsoniana) and yew. A mixed consignment of transplants from the Netherlands in Nov. showed symptoms of severe P. damage and P. cryptogea was isolated from samples of beech (Fagus) and sweet chestnut. Microsphaera platani was again present on London plane (Platanus X hispanica) in central London but was less severe than in 1983. Erwinia amylovora was isolated from fresh small bark lesions on the stems of 10 to 15-yr old whitebeam (Sorbus aria) in Aug., this providing the first confirmation of direct bark infection. Diplodia pinea was identified on dying shoots of an Austrian pine (Pinus nigra var. nigra) in Hants, only the 2nd record of this fungus acting as a probable pathogen, the first being in 1951. Common causes of injury in Scotland and northern England were extremes of climate and misuse of chemicals. Frequently recorded root pathogens were Heterobasidion annosum, Armillaria spp. and Meripilus giganteus. The occurrence of Pucciniastrum epilobii on common silver fir (Abies alba) is a new British record. A survey of the incidence of resin top caused by Peridermium pini on Scots pine in Thetford Forest indicated that /3 of the old trees in the main block could be given a useful life expectancy of at least 12 yr. Cumulative losses from Dutch elm disease (Ceratocystis ulmi) have increased from 8.7% in 1977 to 17.6% in plots monitored for regenerating suckers in southern England. All new infections in 1983 and 1984 were caused by the aggressive str. and none by the non-aggressive one. A trial evaluating Trichoderma as a curative and protective treatment on inoculated elms showed no significant differences between treated and untreated trees. Foliage browning and shoot death in Sitka spruce (Picea sitchensis) and other conifers during winter 1983-84 was apparently not caused by 'acid rain' but probably by alternating periods of mild and cold weather accompanied by strong winds."
1721	Y. C. Shen and Z. S. Li	Studies on Chlorophorus diadema Motsch. and Lyctus linearis Goeze	"Descriptions are given of the biology and damage caused by these wood borers, pests of locust wood [Robinia pseudoacacia] widely found in northern Jiangsu. C. diadema damages logs of diam. 5-10 cm, and L. linearis sapwood of freshly felled or processed wood from under 10-yr-old trees. Best prevention is obtained using DDT, dipterex [trichlorphon] or ammonia water, or by felling trees in the summer. Best control is obtained using DDT or DDVP [dichlorvos]."
1586	A. Jehan and J. Abdul	"New hosts of some parasitic fungi from N.W.F.P., northern areas and Azad Kashmir"	"From surveys made in 1986 and 1987, twelve fungi were recorded parasitizing 12 new hosts, including timber species, orchard plants, condiments, medicinal herbs and weeds. Data are given on habitat, locality and collection date with a brief description of the fungi. There were 5 types of diseases: powdery mildews (Ascomycetes) - Erysiphe pisi on leaves of Robinia pseudoacacia, E. ranunculi on leaves of Clematis graveolens, E. galeopsidis on leaves of Plectranthus rugosus, E. cichoracearum on flowers of Mangifera indica, Sphaerotheca ferruginea on leaves of Conyza bonariensis, Phyllactinia corylea on leaves of Populus X euramerica [P. canadensis], and Uncinula necator on branches and leaves of Vitis vinifera; rusts (Basidiomycetes) - Puccinia jorstadii on Polygonum viviperum and P. allii on leaves of Allium sativum; root rot (Basidiomycetes) - Armillaria mellea on roots and stem base of Diospyros kakl [D. kaki]; needle blight (Fungi Imperfecti) - Dothistroma pini [Scirrhia pini] on Pinus wallichiana; and leaf spot (Fungi Imperfecti) - Septogloeum mori on Morus nigra."
892	D. Lee	Study on Insect Pests of Landscaping Trees in Golf Courses	"Survey was initiated on insect pest species damaging the landscaping trees in golf courses was conducted to get the basic information for the development of insect management program. The four country clubs were selected as survey sites; Tongdo Country Club and Youngwon Country Club in Gyeongnam, Daegu Country Club in Gyeongbuk, and Dongrae Benest Golf Club in Busan. We found that 60 species of 44 genera in 34 families of six orders from 88 species of 54 genera in 33 families of 22 orders surveyed. Most landscaping trees were damaged by less than two species of insect pests, but tree species such as Robinia pseudoacacia, Prunus leveilleana var. pendula, Castanea crenata, Quercus dentata, and Q. variabilis were damaged by more than five species of insects. Most insect species damaged below two tree species. However Adoretus tenuimaculatus(Coleoptera: Scarabaeidae) damaged 67 tree species of 41 genera. The Coleoptera and Homoptera species were 36.4% and 36.3% of the total insect species, respectively. The insect pest occurring in high frequency was 9% of total insect species, while infrequent one was 73%. The insect species with chewing and sucking mouth part types were 49% and 51%, respectively."
1638	K. G. Zhu	A study on the chromogenic form of Colletotrichum gloeosporioides	"The biology, morphology and taxonomy of C. gloeosporioides strs. from apparently healthy leaves of Robinia pseudoacacia and Eucalyptus robusta are described. Inoculation of tea plants with the isolates induced an ascogenous stage closely resembling the rhodo-form of Glomerella cingulata."
1266	M. Mirabolfathy and D. Ershad	Study of root and stem rot of black locust trees in Tehran and Semnan provinces	"Diseased bark and wood tissues of Robinia hillieri collected from various locations in Tehran, Karadj and Garmsar, Iran were identified as having Phytophthora citrophthora, P. drechsleri or P. nicotianae infection."
974	"M. Takallozadeh, K. Kamali, A. A. Talebi and Y. Fathipour"	"Functional response of Lysiphlebus fabarum Marshall to different densities of alfalfa black aphid, Aphis craccivora Koch (Hom.: Aphididae), on two host plants at two different temperatures"	"The functional response of L. fabarum to various densities of alfalfa black aphid, A. craccivora, on 2 host plants, lucerne (Medicago sativa) and locust tree (Robinia pseudoacacia), was studied under growth chamber conditions (555% relative humidity and 14:10 h light:dark periods) at 20 and 27°C. The objectives of the study were to investigate the relationship between host densities and number of hosts parasitized by the parasitoid, and the effect of temperature and host plant on this relationship. The functional responses of L. fabarum to varying host density in both temperatures and host plants were fitted to the Holling's type II model. Searching efficiency (a′) and handling time (Th) on lucerne and locust tree were 0.0173 and 2.6642, and 0.0104 and 1.6005, respectively, at 20°C; the corresponding values were 0.0109 and 3.6187, and 0.0098 and 3.1269, respectively, at 27°C."
1219	P. Fontana and B. Massa	"Damage to trees produced by Grylloderes brunneri (Riggio 1888) (Orthoptera, Gryllidae)"	"A short description of an infestation of Grylloderes brunneri, which occurred during August-October 1999 in western Sicily, Italy. The insects were found in the vicinity of crop plants (especially melon, Cucumis melo var. inodorus, and tomato, Lycopersicon esculentum) and ruderal plants along roadsides, but also damaged young trees in a mixed deciduous plantation, in particular the bark. At the end of September, 100% of robinia (Robinia pseudoacacia) and bird cherry (Sorbus aucuparia) trees in the plantation were damaged; 50% of Fraxinus ornus, wild olive (Olea europaea var. sylvestris), Quercus pubescens and white mulberry (Morus alba) were attacked. The pests did not apparently attack conifers (Pinus pinea, P. halepensis), carob (Ceratonia siliqua) or azerole (Crataegus azarolus)."
1226	"Z. Zhang, K. Chen, Z. Xu, J. Chen and X. Feng"	Identification and characterization of an isolate of peanut stunt virus from black locust mosaic tree in China	"A virus isolated from a diseased black locust tree (Robinia pseudo-accacia) in the suburb of Beijing was identified as peanut stunt virus (PSV), designated PSV Robinia isolate (PSV-R). PSV-R infected 14 of 24 species of plants in four families. The thermal inactivation point was 55-60 degreeC. The dilution end point was 10-4-10-5 and the longevity in vitro was 10 days. Aphid (Aphis craccivora Koch) transmitted the virus in a nonpersistent manner. Virus particles were spherical with 30 nm in diameter. An antiserum against PSV-R was produced with titers of 1:1 024 and 1:256 in microprecipition and gel diffusion tests, respectively. Serologically PSV-R was closely related to PSV-Mi, distantly related to PSV-E. The molecular weight of PSV-R coat protein is about 26 000 D. PSV-R has four main components of RNAs with a small RNAs."
