Refid	Author	Title	content
1275	G. Rietschel	"A hibernation site of the leaf-mining Phyllonorycter robiniella (Clemens, 1859) (Lepidoptera, Gracillariidae)"	"An hibernation site of Phyllonorycter robiniella, a leaf-mining microlepidopter of Robinia pseudacacia, is described. Therefore the theory of a wintergeneration of larvae feeding in shoots is refuted."
1752	J. W. Neal	Significance of opposing abdominal tergal spines on the pupae of the bagworm Thyridopteryx ephemeraeformis (Lepidoptera: Psychidae)	"The abdominal tergal spines on the pupae of Thyridopteryx ephemeraeformis (Haw.) infesting Juniperus virginiana and Robinia pseudacacia in the field and Thuja orientalis var. elegantissima in the greenhouse in Maryland were studied in detail. Unlike those of most lepidopterous pupae, which are posteriorly directed, the pupal spines of Thyridopteryx ephemeraeformis were anteriorly directed, and functional differences in their number and strength between the male and female pupae are pointed out."
522	R. Retevoi	The influence of parasites on harmful insects of the deciduous forests of the north of Arges county	"This article presents a study on the parasites of harmful insects of the acacia and oak forests from the superior basin of Doamnei riv- er. Between 2008-2011, we identiied in these forests the following species of harmful insects which have signiicantly multiplied: Parectopa robiniella, Phylonorycter robiniella, Andricus quercuscalicis. The dynamics of pests populations was inluenced both by abiotic factors and by the action of parasites."
1285	"P. Y. Liu Yuanzhi, G. Tang and T. Tang"	Influence of environmental factors on the colonization of Reticulitermes chinensis Snyder	"Colonization of Reticulitermes chinensis Snyder was influenced by temperature, moisture, food, soil and room size was researched in laboratory as well as in the field. It was found that in a matrix at 20 degree C apprx 28 degree C, 50.5% apprx 69.6% moisture content, new colonies were developed from paired adults. When the temperature was higher than 30 degree C and the RH lower than 38.2%, few colonies were built. Soldier termites fed most at 25 degree C. The moisture content of termite excreta in the nest and that of timber were 54.8% and 52.3% respectively Among the seven kinds of timber tested for building new colonies, the fastest for colonization was Robinia pseudoacacia L., next came Cinnamomum camphora (L.) Presl, and Pinus massoniana Lamb. Soil and room size also had definite influence on colonization. Based on the above, the limiting factors of termites nest building was clarified, the nest immigration and recolonization of termites depend on the environment factors, and the relerant control strategy was given."
1112	"G. Steyrer, T. L. Cech, A. Furst, H. Krehan, W. Krenmayer, F. Kristofel, B. Perny, H. Schaffer, W. G. Stagl and C. Tomiczek"	Forest protection situation 2001 in Austria - surveys and diagnosis of the BFW and documentation of forest damagaing factors 2002	"More than 650 000 m3 of bark-beetle infested wood was cut in 2001. The most dangerous species was Ips typographus (damaging Norway spruce [Picea abies]), but in some regions also Pityogenes chalcographus (in young spruce stands), and Tomicus minor and T. piniperda in Scots pine [Pinus sylvestris]. The Gregarious spruce sawfly (Pristiphora abietina) was found in many secondary spruce stands in Upper and Lower Austria. In Carinthian pine stands, damage by Neodiprion sertifer is still continuing, but less severe. A very important vector of pine decline in Styria and Burgenland was the buprestid beetle Phaenops cyanea. Damage by pine weevil (Hylobius abietis) to conifers and Dreyfusia aphids to silver fir [Abies alba] were also reported. Random sampling showed that the two leaf mining moths, Phyllonorycter robiniella and Parectopa robiniella, of black locust (Robinia pseudoacacia) have infested nearly the whole of Eastern Austria. Often, they are found at high densities without resulting in severe damage to their host trees. The Gleditsia pod gall midge (Dasyneura gleditsiae [Dasineura gleditsiae]) which was recorded for the first time in Austrian forests in a tree nursery (4 ha) in the Burgenland in 2000, showed no remarkable densities in 2001. Its occurrence in urban trees in Vienna and Baden showed the same density as in 2000. Polydrusus spp. and Phyllobius arborater were reported to infest spruce, larch [Larix], Douglas fir [Pseudotsuga menziesii] and Christmas tree plantations in Styria, Upper and Lower Austria. Synanthedon cephiformis was found in an Abies nordmanniana plantation. Scleroderris disease (Ascocalyx abietina) was reported in 2001 only from a few stands of stone pine (Pinus cembra), probably as a result of local microclimatic conditions. A new outbreak of Sphaeropsis blight (Sphaeropsis sapinea [Diplodia pinea]) was observed in Austrian black pines (Pinus nigra austriaca) in northeastern Austria. Unusually warm and humid spring conditions followed by an extreme drought period in 2000 are discussed as triggering factors. Several cases of dieback of green alder (Alnus viridis) were observed in the Tyrol, with microfungi (Valsaceae) developing in bark necroses. It is likely that drought stress due to a shortage in snow cover was the cause."
398	"V. Peric-Mataruga, B. K. Hackenberger, M. Vlahovic, L. Ilijin and M. Mrdakovic"	POTENTIAL IMPROVEMENT OF LYMANTRIA DISPAR L. MANAGEMENT BY QUERCETIN	"Lymantria dispar, a polyphagous insect pest, copes with a wide variety of host-specific allelochemicals. Glutathione S-transferases (GST) are important for catalyzing detoxification in L. dispar. Larval mortality, GST activity in midgut tissue and mass of L. dispar with different trophic adaptations (originating from two forests with a suitable host, Quercus robur, and an unsuitable host, Robinia pseudoacacia), differed after feeding on quercetin supplemented diets (2% or 5% w/w). Quercetin inhibited GST most potently in oak forest larvae that were less adapted to flavonoids in their diet. The larvicidal effect of quercetin on L. dispar larvae depended on the host-use history. We believe this is important in strategies for sustainable control of insect pests."
1893	L. M. Zelinskaya	The resistance of Lymantria dispar to Chlorophos and Entobakterin	"Larvae of L. dispar were collected from various stands (Oak/Birch, Alder, Willow, and Robinia), where the outbreak of the pest was in various phases, viz. culmination, depression, etc. and where microsporidian and nuclear polyhedrosis virus infections were present. The larvae were treated with various doses of Entobakterin and Chlorofos and the % mortality was determined. Larvae from Willow and Robinia stands, weakened as a result of microsporidian and polyhedrosis epizootics, proved to be the most susceptible to the working concentration (0.2%) and to sub-lethal doses (0.05, 0.02%) of Chlorophos. Entobakterin and Chlorophos were not effective against late-instar larvae infected by polyhedra, because complete natural mortality was also observed in the untreated control larvae."
978	V. Nicolai	"The invasive leaf miner Phyllonorycter robiniella feeding on black locust, Robinia pseudoacacia, in central Europe (Lepidoptera : Gracillariidae)"	"The phenology of Phyllonoryeter robiniella (Clemens 1859) was determined during the vegetative periods of 2002-2004 in the city of Marburg, Germany. Controls and collections were conducted at several study sites on leaves of black locust, Robinia pseudoacacia Linnaeus 1753, on a weekly basis. Oviposition of the moths took place in late June after completion of the flowering of the trees. Throughout the study three generations were completed in total. The duration of each generation differs. In 2003 and 2004 a forth generation started in autumn but could not be finished until abscissicion of the leaves. Mortality factors were parasitation during summer, predation by native birds during autumn, and abiotic conditions during winter. Autumn and winter mortality is assumed to be high as every spring low infestations of the trees and every autumn high infestations of the trees were found. Using the data of Phyllonorycter robiniella some properties of successful neozoa in Europe are pointed out."
613	J. S. Badmin	$	"The distribution of the recently introduced gall midge Obolodiplosis robiniae (Haldeman) in Kent is reported. Infestation levels on false acacia Robinia pseudoacacia were low, with one and rarely two leaf-roll galls per leaflet. Limited observations suggested that the golden-leaved form, f. Frisia was less susceptible to attack. Most infestations occurred at 1[long dash]2m above ground level."
810	"M. Skuhrava, V. Skuhravy, M. Skrzypczynska and R. Szadziewski"	"Gall midges (Cecidomyiidae, Diptera) of Poland"	"The present fauna of Poland includes 463 species of Cecidomyiidae in 126 genera, as noted in the present study. The subfamily Cecidomyiinae includes 397 of these species in 97 genera, the subfamily Lestremiinae I 7 species in 11 genera and the subfamily Porricondylinae 49 species in 18 genera. Members of the subfamily Cecidomyiinae are predominantly phytophagous developing in association with host plants, causing galls or living as inquilines in galls of other gall midges; a smaller number of species are zoophagous and mycophagous. Members of the subfamilies Porricondylinae and Lestremiinae are mycophagous or their biology is unknown. An annotated list of gall midge species and a list of host plant species attacked by gall midges are given. The horizontal occurrence of each gall midge species is shown in 205 maps. Gall midges in Poland are associated with 257 host plant species that belong to 48 plant families. 44 gall midge species are associated with Fabaceae, 39 species with Salicaceae and 37 species with Asteraceae. Populus tremula and Salix aurita are host plants with the highest species number, each hosting ten gall midge species. On the basis of zoogeographical analysis the frequency of gall midges occurring in Poland 39% species occur very scarcely, 23% rarely, 16% moderately frequent, 11% frequently, 9% very frequently, 2% commonly. Lasioptera rubi is the most frequent species in Poland. Gall midge species number for each faunal district is given. Geographical distribution: 71% species are European, 21% Eurosiberian, 2% sub-Mediterranean, 5% Holarctic and cosmopolitan; Dasineura bistortae causing galls on Polygonum bistorta is a Euro-Asian species; Janetiella siskiyou developing in cones of Chamaecyparis lawsoniana and Obolodiplosis robiniae causing galls on leaflets of Robinia pseudoacacia are Nearctic species, recent introductions to Europe and alien members of the Polish fauna. Jaapiella alpina inducing galls on Silene acaulis, Dasineura alpestris on Arabis Dasineura bistortae on Polygon urn viviparum and Dasineura phyteumatis on Phyteuma spp. are Alpine species. Species of economic importance are: Contarinia Sitodiplosis mosellana and Haplodiplosis marginata as pests on cereals; Contarinia merceri and Stenodiplosis bromicola on grasses; Contarinia medicaginis on Medicago saliva; Dasineura napi on Brassica napus. Thecodiplosis brachyntera, Resseliella piceae, Plemeliella abietina, Kaltenbachiola strobi and Resseliella skuhravyorum are pests of forest trees. Aphidoletes aphidimyza and Feltiella acarisuga are beneficial species used in biological control of aphids and mites, respectively."
1132	I. M. Sharma and S. S. Bhardwaj	Canker and die-back of Robinia pseudocacia Linn.: A new emerging disease in Himachal Pradesh	Canker and die-back disease in Black locust (Robinia pseudocacia) was identified to be caused by two different strains of Fusarium oxysporum and its incidence ranged between 27-35 per cent in different localities of district Kullu and Mandi in Himachal Pradesh. Detailed symptomatology and preliminary studies on epidemiology and control have been discussed.
