"Refid"	"Author"	"Title"	"content"
1217	"H. Oosterlaken"	"Robinia pseudoacacia in the Netherlands is not seriously threatened by pests and diseases"	"Field surveys were carried out in the Netherlands in 1998 to investigate the occurrence of pests and plant diseases of 2000 R. pseudoacacia. The most common fungal diseases were Fusarium lateritium [Gibberella baccata], Septoria robiniae and mildew, while Aphis fabae, Cercopis sanguinea, and Lepidoptera larvae were the most common insect pests. However, none of the insect pests and plant diseases caused severe damage. Potential threats from other countries include Verticillium dahliae, Megacyllene robiniae, Parectopa robiniella, Phyllonorycter robiniellus and Odontota dorsalis."
108	"D. Rolke"	"The invasive 'peacock fly' Callopistromyia annulipes (MACQUART, 1855) (Diptera, Ulidiidae) - new to the fauna of the federal state of Brandenburg, Germany"	"In June 2017 the 'peacock fly\" Callopistromyia annulipes (MACQUART 1855) was recorded on a stack of felled black locust (Robinia pseudoacacia LINNAEUS) in Potsdam-Golm, Brandenburg. Originally distributed in North America, the species has been spreading steadily in Europe since 2007. The found animal showed a conspicuous behaviour in which the wings were held over the body. A further spread of C. annulipes in Europe can be expected."
821	"L. Mihajlovic, M. M. Glavendekic, I. Jakovljevic and S. Marjanovic"	"Obolodiplosis robiniae (Haldeman) (Diptera: Cecidomyiidae) - a new invasive insect pest on black locust in Serbia"	"Invasive insect O. robiniae is a new pest highly hazardous to black locust in forest ecosystems, urban green spaces, in nurseries of forest planting material and in nurseries of ornamental planting material. Locust gall midge in Serbia develops three to four generations a year. It hibernates in the larval stage in the litter, and the adults emerge in April. The first generation develops during April and May, and the first adults were observed in west Serbia at the end of May. The development of the second generation occurs in June and at the beginning of July, and the third generation ranges from July to August. The fourth generation develops from September to the end of October. The pupal stage in the first and the second generations terminates in the gall. The larvae of the third generation leave the galls and hibernate in the ground and chrysalide in the following spring. The parasitoid of locust gall midge Platygaster robiniae Buhl & Duso (Hymenoptera, Platygastridae) was found in the area of Belgrade and in west Serbia. The parasitoid also originates from North America. The economic and ecological impacts of gall midge range from the assessments that they are insignificant (Switzerland), to emphasising the hazard to ornamental plant nursery production (Check Republic), and to the classification as dangerous pests of black locust (China). In South Chorea and Ukraine, gall midge was designated as a dangerous risk factor for apicultural production. Black locust is a valuable melliferous species in our country and the impact of this invasive insect on apicultural production should be investigated. The method of O. robiniae introduction and its spreading in Serbia are not known for the time being. One of the potential ways is by plating material. The first symptoms of infestation were observed on the seedlings originating from the nursery in the surroundings of Krusevac. As our producers purchase the reproductive material from the nurseries in Italy, Slovenia and Hungary, it is highly possible that O. robiniae was accidentally introduced with the planting material. Another possibility of invasion is accidental, by transport vehicles or by wind from the Republic of Srpska and Croatia. The method of introduction and the spreading of the parasitoid P. robiniae is probably the same as that of its host. In the last several years the import of reproductive material of ornamental plants has been increasing and also the risk on introducing the invasive organisms. The study of black locust entomofauna should be continued."
1733	"S. Y. Huang and J. G. Wang"	"Studies on stem rot of black locust"	"Stem rot has caused high mortality of Robinia pseudoacacia over most of Jiangsu Province since 1972. Isolation and inoculation experiments indicate that Phytophthora cinnamomi is the pathogen. Infection occurs from March to Oct. (mostly May-Sept.). The pathogen attacks the trunk or roots to induce necrosis of the inner bark usually around the basal or lower trunk. Saprophytic sporodochia may be observed in cracks or diseased parts of the bark. When the trunk is completely encircled, the tree wilts gradually."
306	"T. Annesi, L. Calienno, R. Picchio, D. De Simone and A. Lo Monaco"	"DEGRADATION OF SOME TECHNOLOGICAL FEATURES IN THE WOOD OF ORNAMENTAL SPECIES CAUSED BY INONOTUS RICKII (PAT.) REID"	"Inonotus rickii (Pat.) Reid is a pathogenic wood-decaying fungus that causes severe decay in several ornamental urban trees in Europe. It has been known to occur on different hosts in Sicily (Italy) since 1985, and in Rome (Italy) since 2003. Some physical and mechanical wood features were studied according to the standards in order to propose an investigation methodology to set a deterioration ranking of urban trees. In this phase of the study, Celtis australis L., Acer negundo L., Acer campestre L., Robinia pseudoacacia L., Tilia x vulgaris Hayne, Ulmus minor Mill., Platanus x acerifolia (Aiton) Willd. and Quercus ilex L. were studied. The data were analyzed using ANOVA and M-ANOVA tests to check the differences among the specimens. A risk matrix was created in order to combine the features that showed statistical differences between the control specimens and the inoculated specimens, in order to establish, in vitro, a degradation ranking among the wood species. The wood species which showed no in vitro durability to I. rickii, were the same ones that displayed susceptibility in the living trees."
1262	"F. Burghardt, K. Fiedler and P. Proksch"	"Flavonoid uptake by the common blue butterfly, Polyommatus icarus: The influence of food plant, size and sex"	"Caterpillars of Polyommatus icarus (Rottemburg) (Lepidoptera: Lycaenidae) were reared throughout their entire development on 4 naturally used hostplants (inflorescences of Lotus corniculatus, Medicago sativa, Melilotus officinalis and Trifolium pratense), and on 4 food sources which are not known to be used in the field (flowers of Vicia villosa and Robinia pseudoacacia, leaves of Robinia pseudoacacia and Medicago sativa). Resulting butterflies were freeze-dried, extracted with methanol, and quantitatively analysed by HPLC for their flavonoid patterns and content. Female butterflies typically sequestered more flavonoids than males, but the magnitude of this difference (0-60 %) varied with food plant. Butterflies reared on natural food sources contained more flavonoids than those raised on food media which are accepted only in experiments. Furthermore, flavonoid content was strongly correlated with adult dry weight. The results demonstrate that the highly variable quantitative and qualitative patterns of flavonoid accumulation in the butterfly P. icarus are governed by a combination of factors such as food plant species or organ, sex, and adult size."
1025	"G. F. Bills"	"Cadophora hiberna sp. nov., a winter-fruiting helotialean anamorph from wood of Robinia pseudoacacia and forest soil"	"Cadophora hiberna is described based on field collections, studies of culture morphology, and analyses of the ITS region of ribosomal DNA. The ribosomal DNA ITS sequences exhibit high homology with the ITS sequences of Phialocephala fortinii and with those of various ericoid mycorrhizal fungi placed in the Helotiales, and Mollisia species. The fungus is found consistently on the undersides of decorticated logs, branches, and stumps of Robinia pseudoacacia (black locust) in contact with the soil in the eastern United States. Cadophora hiberna is unusual because of its membranous, sporodochial conidiomata that form only on decorticated wood of R. pseudoacacia, and develop early in the winter and persist until spring. Cadophora hiberna was isolated from soil in the proximity of R. pseudoacacia and once from river silt."
882	"K. Esaki"	"Management of Apriona japonica Thomson (Coleoptera: Cerambycidae) adults by spraying feeding trees with fenitrothion"	"The longhorn beetle, Apriona japonica, damages various broad-leaved trees. In a mixed forest of Robinia pseudoacacia and Celtis sinensis at Uchinada, Ishikawa Prefecture, bark-feeding adults are thought to attack C. sinensis primarily and to deposit eggs mainly on R. pseudoacacia. In order to verify the utility of fenitrothion-spraying to control A. japonica adults, I sprayed the branches of C. sinensis trees with 4.4% fenitrothion twice in the field, just before the occurrence of A. japonica adults and three weeks later. A. japonica adults were killed continuously throughout the period that they occurred on C. sinensis trees. I reared A. japonica adults in the laboratory on C. sinensis branches that were sprayed with 0.44% fenitrothion once and/or twice at a three-week interval. All adults were killed within three days when they fed on the branches sprayed once 1-4 weeks and those sprayed twice 4-6 weeks before the experiments, respectively. These results suggest that spraying fenitrothion should be effective in the management of A. japonica adults and that spraying of 0.44% fenitrothion twice at a 3 week interval can kill nearly 100% of adults over a period of nine weeks."
1453	"W. T. Thoeny and G. L. Nordin"	"PARASITOIDS REARED FROM THE LOCUST TWIG BORER, ECDYTOLOPHA-INSITICIANA ZELL. (LEPIDOPTERA, TORTRICIDAE) IN SOUTHEASTERN KENTUCKY"	"Parasitoids reared from Ecdytolopha insiticiana Zell., collected from a black locust plantation (Robinia pseudoacacia L.) established on a coal surface-mine reclamation site in southeastern Kentucky, included Hypomicrogaster ecdytolophae (Muesebeck) (Braconidae), Agrypon sp., Campoplex sp. (Ichneumonidae), and Leskiella brevirostris James (Tachinidae). H. ecdytolophae was found to be a gregarious endoparasitoid that emerged from the final instar host after cocoon formation and pupated within individual silken cocoons attached to the host cuticle. Agrypon sp. was found as a solitary endoparasitoid that pupated within the pupal cuticle of the host. Campoplex sp. was found as a solitary endoparasitoid that constructed a cocoon within the host cocoon after devouring the remains of the final larval instar. L. brevirostris was found as a solitary parasitoid that formed a puparium within the final larval host cuticle."
1649	"M. Castagnoli and F. Laffi"	"ACULOPS-ALLOTRICHUS NAL. ACARINA ERIOPHYOIDEA INJURIOUS TO ROBINIA-PSEUDOACACIA NOTES ON ITS SYSTEMATICS AND BIOLOGY"	"Aculops allotrichus (Nal.) is particularly injurious in Italy to some varieties of Robinia pseudoacacia when they are in nursery or just transplanted. Heavy infestations cause defoliation of the young shoots, shortening of the internodes and an almost total arrest of growth. The investigations on the life cycle showed that this mite is typically deuterogynous. The two forms of female had been until now considered as distinct species: the deutogyne as Phyllocoptes allotrichus and the protogyne as Phyllocoptes robiniae Nal. which is here put into synonymy of the former."
1997	"K. Schmelzer"	"Robinia mosaic virus"	"Cause of mosaic and leaf deformation of Robinia spp., particularly R. pseudoacacia in SE and central Europe. KEYWORDS: Robinia pseudoacacia \ diseases \ Robinia \ Virus diseases \ plants \ Virus diseases \ tree species"
