,entity,kingdom,item_id,entity_id,PLPE,PLSP,PLDI,PAOR,TASP,LOCA,PREV,YEAR,ANME,length,n_occurr,in_first_100,sentiment,n_tokens,vector_norm,token_i,any_digits,all_digits,any_like_num,any_title,any_oov,any_propn,any_verb,any_nsubj,any_dobj,any_compound,eppo_n_results,eppo_code,eppo_type,is_preferred,lang,active,taxonomy,n_categ,n_distrib,n_pests,n_hosts,cat_n_results,is_accepted,is_extinct
0,leishmania infantum dna detection,animal,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33,1,1,0.0,4,18.590208053588867,0,0,0,0,1,1,1,0,1,0,1,0,,,,,,,,,,,0,,
1,phlebotomus,animal,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11,1,1,0.0,1,25.65412712097168,5,0,0,0,1,1,1,0,0,0,0,1,1PHLEG,3.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,479,1.0,0.0
2,a new northern focus,animal,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,1,0.0,4,17.77650260925293,8,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
3,visceral leishmaniasis,animal,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,0,0.0,2,21.245685577392575,13,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
4,iran,animal,0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,1,0,0.0,1,25.89139175415039,16,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,9,1.0,0.0
5,| objective,animal,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0,0.0,2,19.993553161621094,17,0,0,0,1,1,1,0,0,0,0,0,,,,,,,,,,,0,,
6,"the vector(s), the parasite",animal,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1,0,0.0,6,11.898235321044922,22,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
7,the species composition,animal,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,0,0.0,3,16.944259643554688,29,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
8,sand flies,animal,0,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,1,0,0.0,2,18.748918533325195,33,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
9,the district,animal,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0,0.0,2,20.42950439453125,36,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
10,may-october,animal,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0,0.0,3,19.794538497924805,39,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,0,,
11,methods,animal,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0,0.0,1,22.20248031616211,44,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
12,our objectives,animal,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,0,0.0,2,18.66657066345215,48,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
13,we,animal,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,1,27.16937065124512,50,0,0,0,0,1,0,0,1,0,0,0,,,,,,,,,,,0,,
14,polymerase chain reaction,animal,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,2,0,0.0,3,22.77331733703613,52,0,0,0,0,1,0,0,0,1,1,0,,,,,,,,,,,0,,
15,kdna,animal,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0.0,1,24.348955154418945,56,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,0,,
16,its1-rdna,animal,0,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,2,0,0.0,1,23.467885971069336,58,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,0,,
17,restriction fragment length polymorphism,animal,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1,0,0.0,4,19.793184280395508,62,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,0,,
18,results,animal,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0,0.0,1,25.68542289733887,67,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,0,,
19,two species,animal,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0,0.0,2,18.791400909423828,69,0,0,1,1,1,0,0,1,0,0,0,,,,,,,,,,,0,,
20,phlebotomus sergenti,animal,0,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20,1,0,0.0,2,19.744070053100586,72,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,1,1.0,0.0
21,phlebotomus tobbi,animal,0,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17,2,1,0.0,2,19.97218132019043,75,0,0,0,1,1,1,0,0,0,1,0,,,,,,,,,,,1,1.0,0.0
22,8 species,animal,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0,0.0,2,21.239704132080078,82,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
23,51.1%,animal,0,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,2,21.317476272583008,86,0,0,1,0,1,0,0,0,1,0,0,,,,,,,,,,,0,,
24,32.9%,animal,0,25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,1,0,0.0,2,20.738718032836914,89,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
25,the 160 specimens,animal,0,26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17,1,0,0.0,3,17.17825698852539,94,1,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,
